,SAIA,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",17.53,29.96,Valuation,0.585113484646195
Price/Sales (TTM),2.28,3.76,Valuation,0.6063829787234042
Price/Book (MRQ),4.16,7.0,Valuation,0.5942857142857143
"PEG Ratio (TTM, GAAP)",1.03,3.13,Valuation,0.329073482428115
Gross Profit Margin (TTM),0.6925,0.5844,Profitability,1.1849760438056125
Operating Profit Margin (TTM),0.17260000000000003,0.2133,Profitability,0.8091889357712144
Net Profit Margin (TTM),0.1309,0.1038,Profitability,1.2610789980732175
Annual Dividend Yield,,0.013000000000000001,Dividend,
Dividend Change %,,0.09210000000000002,Dividend,
"Dividend Growth Rate, 3 Years",,0.09480000000000001,Dividend,
EPS Growth (MRQ),-0.1043,0.3065,Gowth rates,-0.3402936378466558
EPS Growth (TTM),0.6406999999999999,0.0956,Gowth rates,6.701882845188283
Revenue Growth (MRQ),-0.0215,0.2373,Gowth rates,-0.09060261272650652
Revenue Growth (TTM),0.2818,0.2979,Gowth rates,0.9459550184625714
Return On Equity (TTM),0.2718,0.1677,Effectiveness,1.6207513416815742
Return On Assets (TTM),0.1834,0.065,Effectiveness,2.8215384615384616
Return On Investment (TTM),0.22160000000000002,0.06480000000000001,Effectiveness,3.4197530864197527
Revenue Per Employee (TTM),237363.0,723294.0,Effectiveness,0.3281694580626965
Total Debt/Total Capital (MRQ),0.0226,0.5356000000000001,Financial strength,0.04219566840926063
Change in Debt/Total Capital Quarter over Quarter,-0.0047,0.0005,Financial strength,-9.4
Quick Ratio (MRQ),,0.75,Financial strength,
Interest Coverage (MRQ),221.12,13.38,Financial strength,16.526158445440956
