,EGRX
% Above Low,0.4739
% Held by Institutions,0.8586
52-Wk Range,['24.35 - 56.43']
Annual Dividend $,
Annual Dividend %,
Ask,49.9
Ask Size,5000.0
B/A Ratio,0.04
B/A Size,200x5000
Beta,0.8
Bid,14.3
Bid Size,200.0
Closing Price,35.89
Day Change $,-0.66
Day Change %,-0.0181
Day High,36.66
Day Low,35.43
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.66
Ex-dividend Date,No dividend
Historical Volatility,0.514
Last (size),5.0
Last (time),1:00p ET 11/25/22
Market Cap,467.1M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",21.68
Prev Close,36.55
Short Interest,0.0801
Today's Open,36.16
Volume,38413.0
Volume 10-day Avg,110823.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-06 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,1.8692307692307693
Growth 1yr High Est,1.6267123287671232
Growth 1yr Consensus Est,1.7479715489989462
Growth 2yr Low Est,0.6826046607547949
Growth 2yr High Est,0.6705921487381901
Growth 2yr Consensus Est,0.6765984047464925
Growth 5yr Low Est,0.3555299726538202
Growth 5yr High Est,0.34978882799228345
Growth 5yr Consensus Est,0.3526594003230518
Growth 5yr Actual/Est,0.3994286600662158
Growth 3yr Historic,0.021990064289888978
Price/Earnings (TTM),21.68226
Price/Sales (TTM),1.56637
Price/Book (MRQ),2.01544
Price/Cash Flow (TTM),16.17574
5yr Low,24.35
5yr High,85.66
5yr Avg Return,-0.038916666666666655
EPS Growth 5yr,
Revenue Growth 5yr,-0.019692
Dividend Growth 5yr,
Short Int Current Month,915892.0
Short Int Prev Month,915238.0
Short Int Pct of Float,0.0801318
Days to Cover,4.50346
Float,11.42301
Shares Outstanding,13.01586
Institutions Holding Shares,222.0
FCF Growth 5yr,-1.556237653878888
"Price/Earnings (TTM, GAAP)",21.68
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.7070000000000001
Operating Profit Margin (TTM),0.2595
Net Profit Margin (TTM),0.0714
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.2644
EPS Growth (TTM),2.9928
Revenue Growth (MRQ),-0.11109999999999999
Revenue Growth (TTM),0.6648000000000001
Return On Equity (TTM),0.102
Return On Assets (TTM),0.06620000000000001
Return On Investment (TTM),0.0901
Revenue Per Employee (TTM),2923833.0
Total Debt/Total Capital (MRQ),0.20940000000000003
Change in Debt/Total Capital Quarter over Quarter,0.0048
Quick Ratio (MRQ),0.99
Interest Coverage (MRQ),5.95
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-05-13 00:00:00
ford since,2022-08-12 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2021-11-11 00:00:00
