,EGRX,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",21.68,471.78,Valuation,0.045953622451142484
Price/Sales (TTM),1.57,45.03,Valuation,0.03486564512547191
Price/Book (MRQ),2.02,12.61,Valuation,0.16019032513877876
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),0.7070000000000001,0.5874,Profitability,1.2036091249574397
Operating Profit Margin (TTM),0.2595,-4.7459,Profitability,-0.0546787753639984
Net Profit Margin (TTM),0.0714,-4.5467,Profitability,-0.01570369718697077
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),0.2644,-0.0014000000000000002,Gowth rates,-188.85714285714283
EPS Growth (TTM),2.9928,0.027200000000000002,Gowth rates,110.02941176470587
Revenue Growth (MRQ),-0.11109999999999999,1.3963999999999999,Gowth rates,-0.079561730163277
Revenue Growth (TTM),0.6648000000000001,0.9747,Gowth rates,0.6820560172360727
Return On Equity (TTM),0.102,0.1967,Effectiveness,0.5185561769191662
Return On Assets (TTM),0.06620000000000001,0.0016,Effectiveness,41.375
Return On Investment (TTM),0.0901,0.0219,Effectiveness,4.114155251141552
Revenue Per Employee (TTM),2923833.0,1476201.0,Effectiveness,1.9806469444201704
Total Debt/Total Capital (MRQ),0.20940000000000003,0.4675,Financial strength,0.4479144385026738
Change in Debt/Total Capital Quarter over Quarter,0.0048,0.0036,Financial strength,1.3333333333333333
Quick Ratio (MRQ),0.99,2.06,Financial strength,0.48058252427184467
Interest Coverage (MRQ),5.95,2.69,Financial strength,2.2118959107806693
