,HMST,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",6.12,11.29,Valuation,0.54207263064659
Price/Sales (TTM),1.68,3.28,Valuation,0.5121951219512195
Price/Book (MRQ),0.93,1.42,Valuation,0.6549295774647887
"PEG Ratio (TTM, GAAP)",,1.08,Valuation,
Gross Profit Margin (TTM),,,Profitability,
Operating Profit Margin (TTM),0.36450000000000005,0.3468,Profitability,1.0510380622837372
Net Profit Margin (TTM),0.2866,0.2848,Profitability,1.0063202247191012
Annual Dividend Yield,0.0512,0.028999999999999998,Dividend,1.7655172413793105
Dividend Change %,0.6667000000000001,-0.0087,Dividend,-76.63218390804599
"Dividend Growth Rate, 3 Years",,0.0742,Dividend,
EPS Growth (MRQ),0.1516,-0.048,Gowth rates,-3.1583333333333337
EPS Growth (TTM),-0.1531,-0.10490000000000001,Gowth rates,1.459485224022879
Revenue Growth (MRQ),0.2321,0.5294,Gowth rates,0.43842085379675105
Revenue Growth (TTM),0.1018,0.22469999999999998,Gowth rates,0.45304850912327554
Return On Equity (TTM),0.1385,0.1153,Effectiveness,1.2012142237640937
Return On Assets (TTM),0.0106,0.0101,Effectiveness,1.0495049504950495
Return On Investment (TTM),,,Effectiveness,
Revenue Per Employee (TTM),,,Effectiveness,
Total Debt/Total Capital (MRQ),,0.0,Financial strength,
Change in Debt/Total Capital Quarter over Quarter,0.0045000000000000005,0.0009,Financial strength,5.000000000000001
Quick Ratio (MRQ),,,Financial strength,
Interest Coverage (MRQ),,,Financial strength,
