,HMST
% Above Low,0.2184
% Held by Institutions,0.8872
52-Wk Range,['22.44 - 57.40']
Annual Dividend $,1.4
Annual Dividend %,0.0512
Ask,27.33
Ask Size,300.0
B/A Ratio,0.6666666666666666
B/A Size,200x300
Beta,1.0
Bid,24.8
Bid Size,200.0
Closing Price,27.34
Day Change $,0.57
Day Change %,0.0213
Day High,27.41
Day Low,26.65
Dividend Pay Date,2022-11-22 00:00:00
"EPS (TTM, GAAP)",4.47
Ex-dividend,2022-11-07 00:00:00
Ex-dividend Date,11/07/22
Historical Volatility,0.349
Last (size),9.0
Last (time),1:00p ET 11/25/22
Market Cap,511.9M
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",6.12
Prev Close,26.77
Short Interest,0.0395
Today's Open,26.65
Volume,100292.0
Volume 10-day Avg,132525.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-23 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,-0.27680311890838205
Growth 1yr High Est,-0.3005464480874317
Growth 1yr Consensus Est,-0.2886747834979069
Growth 2yr Low Est,-0.2286980554110643
Growth 2yr High Est,-0.10339822404371585
Growth 2yr Consensus Est,-0.16604813972739008
Growth 5yr Low Est,0.3077875124152616
Growth 5yr High Est,0.3968375670908151
Growth 5yr Consensus Est,0.35231253975303833
Growth 5yr Actual/Est,0.367349147318667
Growth 3yr Historic,0.45304917727991073
Price/Earnings (TTM),6.12033
Price/Sales (TTM),1.67709
Price/Book (MRQ),0.92574
Price/Cash Flow (TTM),5.17801
5yr Low,18.44
5yr High,57.4
5yr Avg Return,0.061983333333333335
EPS Growth 5yr,0.1845522
Revenue Growth 5yr,0.0311712
Dividend Growth 5yr,
Short Int Current Month,701354.0
Short Int Prev Month,848309.0
Short Int Pct of Float,0.0395389
Days to Cover,4.17868
Float,17.9994
Shares Outstanding,18.72264
Institutions Holding Shares,241.0
FCF Growth 5yr,-0.2197745025578598
"Price/Earnings (TTM, GAAP)",6.12
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.36450000000000005
Net Profit Margin (TTM),0.2866
Annual Dividend Yield,0.0512
Dividend Change %,0.6667000000000001
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.1516
EPS Growth (TTM),-0.1531
Revenue Growth (MRQ),0.2321
Revenue Growth (TTM),0.1018
Return On Equity (TTM),0.1385
Return On Assets (TTM),0.0106
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,0.0045000000000000005
Quick Ratio (MRQ),
Interest Coverage (MRQ),
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2022-11-01 00:00:00
researchTeam since,2022-04-29 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-04-29 00:00:00
cfra since,
marketEdge opinion since,
