,KN
% Above Low,0.3042
% Held by Institutions,1.004
52-Wk Range,['11.57 - 23.81']
Annual Dividend $,
Annual Dividend %,
Ask,18.93
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.5
Bid,
Bid Size,
Closing Price,15.09
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.44
Ex-dividend Date,No dividend
Historical Volatility,0.316
Last (size),43.0
Last (time),5:00p ET 11/25/22
Market Cap,1.4B
"P/E Ratio (TTM, GAAP)",
Prev Close,15.09
Short Interest,0.0219
Today's Open,
Volume,152193.0
Volume 10-day Avg,518858.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-08 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,-0.15540540540540537
Growth 1yr High Est,-0.1466666666666666
Growth 1yr Consensus Est,-0.151036036036036
Growth 2yr Low Est,-0.14170270270270263
Growth 2yr High Est,-0.026458333333333306
Growth 2yr Consensus Est,-0.08408051801801797
Growth 5yr Low Est,0.2171356616356617
Growth 5yr High Est,0.19968949362041463
Growth 5yr Consensus Est,0.20841257762803816
Growth 5yr Actual/Est,0.20505544020567726
Growth 3yr Historic,0.24718896028037382
Price/Earnings (TTM),
Price/Sales (TTM),1.71141
Price/Book (MRQ),1.16284
Price/Cash Flow (TTM),
5yr Low,10.95
5yr High,23.81
5yr Avg Return,0.025833333333333344
EPS Growth 5yr,0.4800701
Revenue Growth 5yr,0.0281206
Dividend Growth 5yr,
Short Int Current Month,1959217.0
Short Int Prev Month,1648009.0
Short Int Pct of Float,0.0219007
Days to Cover,1.85971
Float,89.49698
Shares Outstanding,90.94645
Institutions Holding Shares,318.0
FCF Growth 5yr,-0.6171180255449918
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.4115
Operating Profit Margin (TTM),-0.2086
Net Profit Margin (TTM),-0.16149999999999998
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),1.0111
EPS Growth (TTM),-2.5702
Revenue Growth (MRQ),-0.0521
Revenue Growth (TTM),-0.08560000000000001
Return On Equity (TTM),-0.1017
Return On Assets (TTM),-0.08199999999999999
Return On Investment (TTM),-0.0954
Revenue Per Employee (TTM),114557.0
Total Debt/Total Capital (MRQ),0.062000000000000006
Change in Debt/Total Capital Quarter over Quarter,-0.0046
Quick Ratio (MRQ),1.39
Interest Coverage (MRQ),14.73
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-09-20 00:00:00
theStreet since,2022-09-20 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-11 00:00:00
cfra since,
marketEdge opinion since,
