,DUK
% Above Low,0.1894
% Held by Institutions,0.6202000000000001
52-Wk Range,['83.76 - 116.33']
Annual Dividend $,4.02
Annual Dividend %,0.0404
Ask,100.0
Ask Size,700.0
B/A Ratio,0.7142857142857143
B/A Size,500x700
Beta,0.4
Bid,98.15
Bid Size,500.0
Closing Price,99.62
Day Change $,1.08
Day Change %,0.011000000000000001
Day High,99.99
Day Low,98.9
Dividend Pay Date,2022-12-16 00:00:00
"EPS (TTM, GAAP)",4.93
Ex-dividend,2022-11-17 00:00:00
Ex-dividend Date,11/17/22
Historical Volatility,0.217
Last (size),4.0
Last (time),5:00p ET 11/25/22
Market Cap,76.7B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",20.2
Prev Close,98.54
Short Interest,0.0106
Today's Open,99.0
Volume,1275680.0
Volume 10-day Avg,3275318.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-09 00:00:00
Growth Analysts,15.0
Growth 1yr Low Est,0.00963391136801528
Growth 1yr High Est,0.01872659176029967
Growth 1yr Consensus Est,0.014180251564157476
Growth 2yr Low Est,0.04107649766874044
Growth 2yr High Est,0.033260354703679273
Growth 2yr Consensus Est,0.03716842618620986
Growth 5yr Low Est,0.032516014658289905
Growth 5yr High Est,0.03027794263003969
Growth 5yr Consensus Est,0.0313969786441648
Growth 5yr Actual/Est,0.02872462306645951
Growth 3yr Historic,0.008823801877470394
Price/Earnings (TTM),20.20243
Price/Sales (TTM),2.73752
Price/Book (MRQ),1.58542
Price/Cash Flow (TTM),8.05055
5yr Low,62.13
5yr High,116.33
5yr Avg Return,0.020516666666666673
EPS Growth 5yr,0.05902110000000001
Revenue Growth 5yr,0.019893499999999998
Dividend Growth 5yr,0.030255800000000003
Short Int Current Month,8158961.0
Short Int Prev Month,6984101.0
Short Int Pct of Float,0.010606599999999999
Days to Cover,2.22627
Float,769.2721
Shares Outstanding,770.0627
Institutions Holding Shares,2089.0
FCF Growth 5yr,0.5658059745104529
"Price/Earnings (TTM, GAAP)",20.2
"PEG Ratio (TTM, GAAP)",3.28
Gross Profit Margin (TTM),0.45409999999999995
Operating Profit Margin (TTM),0.2064
Net Profit Margin (TTM),0.13369999999999999
Annual Dividend Yield,0.0404
Dividend Change %,0.0209
"Dividend Growth Rate, 3 Years",0.023700000000000002
EPS Growth (MRQ),0.523
EPS Growth (TTM),0.2712
Revenue Growth (MRQ),0.19190000000000002
Revenue Growth (TTM),0.1375
Return On Equity (TTM),0.0793
Return On Assets (TTM),0.021800000000000003
Return On Investment (TTM),0.0244
Revenue Per Employee (TTM),1015142.0
Total Debt/Total Capital (MRQ),0.5829
Change in Debt/Total Capital Quarter over Quarter,0.0006
Quick Ratio (MRQ),0.56
Interest Coverage (MRQ),3.38
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2021-07-16 00:00:00
cfra since,2022-02-10 00:00:00
ford since,2022-11-11 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2010-08-15 00:00:00
