,YMAB
% Above Low,0.4218
% Held by Institutions,0.6382
52-Wk Range,['2.94 - 20.48']
Annual Dividend $,
Annual Dividend %,
Ask,4.2
Ask Size,100.0
B/A Ratio,5.0
B/A Size,500x100
Beta,0.8
Bid,3.5
Bid Size,500.0
Closing Price,4.18
Day Change $,-0.01
Day Change %,-0.0024
Day High,4.32
Day Low,4.08
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-3.06
Ex-dividend Date,No dividend
Historical Volatility,1.351
Last (size),1000.0
Last (time),3:59p ET 11/28/22
Market Cap,183.4M
"P/E Ratio (TTM, GAAP)",
Prev Close,4.19
Short Interest,0.0387
Today's Open,4.16
Volume,539414.0
Volume 10-day Avg,596834.0
Volume Past Day,(Average)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,-0.2138888888888889
Growth 1yr High Est,0.4067796610169492
Growth 1yr Consensus Est,0.09644538606403014
Growth 2yr Low Est,-0.15111405575186493
Growth 2yr High Est,-0.24841739840718807
Growth 2yr Consensus Est,-0.1997657270795265
Growth 5yr Low Est,0.041789910899577704
Growth 5yr High Est,-0.17927477849874823
Growth 5yr Consensus Est,-0.06874243379958526
Growth 5yr Actual/Est,0.10186730378302652
Growth 3yr Historic,-0.06942980529937048
Price/Earnings (TTM),
Price/Sales (TTM),4.21414
Price/Book (MRQ),1.69576
Price/Cash Flow (TTM),
5yr Low,2.94
5yr High,55.22
5yr Avg Return,-0.10356000000000004
Short Int Current Month,1474720.0
Short Int Prev Month,3076835.0
Short Int Pct of Float,0.0387423
Days to Cover,1.19463
Float,38.06488
Shares Outstanding,43.66813
Institutions Holding Shares,158.0
FCF Growth 5yr,0.18935621844133022
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.8409000000000001
Operating Profit Margin (TTM),-2.9807
Net Profit Margin (TTM),-3.0775
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.3308
EPS Growth (TTM),-2.2982
Revenue Growth (MRQ),0.1612
Revenue Growth (TTM),-0.0571
Return On Equity (TTM),-0.8384
Return On Assets (TTM),-0.6961
Return On Investment (TTM),-0.8184
Revenue Per Employee (TTM),293365.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),3.97
Interest Coverage (MRQ),
theStreet,rating-box
cfra,
newConstructs,rating-box
ford,rating-box
researchTeam,rating-box
marketEdge opinion,
theStreet since,2022-03-28 00:00:00
cfra since,
newConstructs since,
ford since,
researchTeam since,
marketEdge opinion since,
