,YMAB,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,471.78,Valuation,
Price/Sales (TTM),4.21,45.03,Valuation,0.0934932267377304
Price/Book (MRQ),1.7,12.61,Valuation,0.13481363996827914
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),0.8409000000000001,0.5874,Profitability,1.4315628192032688
Operating Profit Margin (TTM),-2.9807,-4.7459,Profitability,0.6280579026106745
Net Profit Margin (TTM),-3.0775,-4.5467,Profitability,0.6768645391162821
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),0.3308,-0.0014000000000000002,Gowth rates,-236.28571428571425
EPS Growth (TTM),-2.2982,0.027200000000000002,Gowth rates,-84.49264705882352
Revenue Growth (MRQ),0.1612,1.3963999999999999,Gowth rates,0.11543970209109139
Revenue Growth (TTM),-0.0571,0.9747,Gowth rates,-0.0585821278342054
Return On Equity (TTM),-0.8384,0.1967,Effectiveness,-4.262328418912048
Return On Assets (TTM),-0.6961,0.0016,Effectiveness,-435.0625
Return On Investment (TTM),-0.8184,0.0219,Effectiveness,-37.369863013698634
Revenue Per Employee (TTM),293365.0,1476201.0,Effectiveness,0.19872971228172856
Total Debt/Total Capital (MRQ),0.0,0.4675,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0036,Financial strength,
Quick Ratio (MRQ),3.97,2.06,Financial strength,1.9271844660194175
Interest Coverage (MRQ),,2.69,Financial strength,
