,FXLV
% Above Low,2.1437
% Held by Institutions,0.4924
52-Wk Range,['0.7857 - 15.78']
Annual Dividend $,
Annual Dividend %,
Ask,2.52
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,
Bid,2.42
Bid Size,100.0
Closing Price,2.47
Day Change $,0.07
Day Change %,0.0292
Day High,2.5
Day Low,2.31
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.82
Ex-dividend Date,No dividend
Historical Volatility,1.3530000000000002
Last (size),300.0
Last (time),5:00p ET 11/25/22
Market Cap,239.4M
"P/E Ratio (TTM, GAAP)",
Prev Close,2.4
Short Interest,0.1258
Today's Open,2.37
Volume,238942.0
Volume 10-day Avg,525158.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-13 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-1.1414141414141414
Growth 2yr High Est,-1.3222222222222222
Growth 2yr Consensus Est,-1.231818181818182
Growth 5yr Low Est,-1.1414141414141414
Growth 5yr High Est,-1.3222222222222222
Growth 5yr Consensus Est,-1.231818181818182
Growth 5yr Actual/Est,-0.9605796586059745
Growth 3yr Historic,0.0
Price/Earnings (TTM),
Price/Sales (TTM),1.40411
Price/Book (MRQ),5.6655
Price/Cash Flow (TTM),
5yr Low,0.7857
5yr High,17.75
5yr Avg Return,-0.567
Short Int Current Month,5980359.0
Short Int Prev Month,6503619.0
Short Int Pct of Float,0.1257617
Days to Cover,14.19198
Float,47.5531
Shares Outstanding,97.3158
Institutions Holding Shares,104.0
FCF Growth 5yr,0.3247049321165885
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.7136
Operating Profit Margin (TTM),-0.3122
Net Profit Margin (TTM),-0.4532
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.6973
EPS Growth (TTM),0.6874
Revenue Growth (MRQ),-0.0235
Revenue Growth (TTM),0.8968
Return On Equity (TTM),-1.0118
Return On Assets (TTM),-0.3951
Return On Investment (TTM),-0.5892000000000001
Revenue Per Employee (TTM),1069938.0
Total Debt/Total Capital (MRQ),0.6757
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),0.97
Interest Coverage (MRQ),-0.42
theStreet,rating-box
cfra,
newConstructs,rating-box
ford,rating-box
researchTeam,rating-box
marketEdge opinion,
theStreet since,2022-08-31 00:00:00
cfra since,
newConstructs since,
ford since,
researchTeam since,
marketEdge opinion since,
