,FXLV,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,103.69,Valuation,
Price/Sales (TTM),1.4,5.63,Valuation,0.24866785079928952
Price/Book (MRQ),5.67,8.51,Valuation,0.6662749706227967
"PEG Ratio (TTM, GAAP)",,0.48,Valuation,
Gross Profit Margin (TTM),0.7136,0.4058,Profitability,1.7585017249876786
Operating Profit Margin (TTM),-0.3122,0.1648,Profitability,-1.894417475728155
Net Profit Margin (TTM),-0.4532,0.0801,Profitability,-5.65792759051186
Annual Dividend Yield,,0.011200000000000002,Dividend,
Dividend Change %,,0.0563,Dividend,
"Dividend Growth Rate, 3 Years",,0.0311,Dividend,
EPS Growth (MRQ),-0.6973,0.3321,Gowth rates,-2.0996687744655227
EPS Growth (TTM),0.6874,2.1422,Gowth rates,0.32088507142190276
Revenue Growth (MRQ),-0.0235,0.38689999999999997,Gowth rates,-0.06073920909795814
Revenue Growth (TTM),0.8968,0.7726000000000001,Gowth rates,1.1607558892052807
Return On Equity (TTM),-1.0118,0.1915,Effectiveness,-5.28355091383812
Return On Assets (TTM),-0.3951,0.0764,Effectiveness,-5.1714659685863875
Return On Investment (TTM),-0.5892000000000001,0.1012,Effectiveness,-5.822134387351779
Revenue Per Employee (TTM),1069938.0,286353.0,Effectiveness,3.7364302102649525
Total Debt/Total Capital (MRQ),0.6757,1.1601000000000001,Financial strength,0.5824497888113093
Change in Debt/Total Capital Quarter over Quarter,,0.002,Financial strength,
Quick Ratio (MRQ),0.97,0.8,Financial strength,1.2125
Interest Coverage (MRQ),-0.42,40.35,Financial strength,-0.010408921933085501
