,HAFC,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",7.73,11.29,Valuation,0.6846767050487158
Price/Sales (TTM),3.16,3.28,Valuation,0.9634146341463415
Price/Book (MRQ),1.34,1.42,Valuation,0.943661971830986
"PEG Ratio (TTM, GAAP)",,1.08,Valuation,
Gross Profit Margin (TTM),,,Profitability,
Operating Profit Margin (TTM),0.5634,0.3468,Profitability,1.624567474048443
Net Profit Margin (TTM),0.4108,0.2848,Profitability,1.4424157303370786
Annual Dividend Yield,0.0373,0.028999999999999998,Dividend,1.2862068965517242
Dividend Change %,0.0385,-0.0087,Dividend,-4.42528735632184
"Dividend Growth Rate, 3 Years",-0.1745,0.0742,Dividend,-2.351752021563342
EPS Growth (MRQ),0.0828,-0.048,Gowth rates,-1.7249999999999999
EPS Growth (TTM),0.3453,-0.10490000000000001,Gowth rates,-3.2917063870352714
Revenue Growth (MRQ),0.1302,0.5294,Gowth rates,0.2459387986399698
Revenue Growth (TTM),0.1375,0.22469999999999998,Gowth rates,0.6119270137961728
Return On Equity (TTM),0.1728,0.1153,Effectiveness,1.4986990459670426
Return On Assets (TTM),0.015300000000000001,0.0101,Effectiveness,1.514851485148515
Return On Investment (TTM),,,Effectiveness,
Revenue Per Employee (TTM),,,Effectiveness,
Total Debt/Total Capital (MRQ),,0.0,Financial strength,
Change in Debt/Total Capital Quarter over Quarter,-0.0043,0.0009,Financial strength,-4.777777777777778
Quick Ratio (MRQ),,,Financial strength,
Interest Coverage (MRQ),,,Financial strength,
