,HAFC
% Below High,0.0697
% Held by Institutions,0.8996
52-Wk Range,['21.29 - 28.84']
Annual Dividend $,1.0
Annual Dividend %,0.0373
Ask,42.92
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,1.0
Bid,23.75
Bid Size,200.0
Closing Price,26.83
Day Change $,0.43
Day Change %,0.0163
Day High,26.87
Day Low,26.27
Dividend Pay Date,2022-11-23 00:00:00
"EPS (TTM, GAAP)",3.47
Ex-dividend,2022-11-04 00:00:00
Ex-dividend Date,11/04/22
Historical Volatility,0.32299999999999995
Last (size),84.0
Last (time),1:00p ET 11/25/22
Market Cap,817.9M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",7.73
Prev Close,26.4
Short Interest,0.0269
Today's Open,26.39
Volume,108146.0
Volume 10-day Avg,112202.0
Volume Past Day,(Average)
Next Earnings Announcement,2023-01-24 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.060509554140127375
Growth 2yr High Est,0.0060975609756097615
Growth 2yr Consensus Est,-0.027205996582258807
Growth 5yr Low Est,-0.060509554140127375
Growth 5yr High Est,0.0060975609756097615
Growth 5yr Consensus Est,-0.027205996582258807
Growth 5yr Actual/Est,0.4002935032654744
Growth 3yr Historic,0.4088050314465409
Price/Earnings (TTM),7.73099
Price/Sales (TTM),3.16272
Price/Book (MRQ),1.34323
Price/Cash Flow (TTM),6.67104
5yr Low,7.15
5yr High,33.1
5yr Avg Return,0.06975
EPS Growth 5yr,0.1296551
Revenue Growth 5yr,0.0395568
Dividend Growth 5yr,-0.039339400000000004
Short Int Current Month,810073.0
Short Int Prev Month,724592.0
Short Int Pct of Float,0.026926899999999997
Days to Cover,6.25042
Float,30.08092
Shares Outstanding,30.48612
Institutions Holding Shares,227.0
FCF Growth 5yr,0.6001233853865434
"Price/Earnings (TTM, GAAP)",7.73
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.5634
Net Profit Margin (TTM),0.4108
Annual Dividend Yield,0.0373
Dividend Change %,0.0385
"Dividend Growth Rate, 3 Years",-0.1745
EPS Growth (MRQ),0.0828
EPS Growth (TTM),0.3453
Revenue Growth (MRQ),0.1302
Revenue Growth (TTM),0.1375
Return On Equity (TTM),0.1728
Return On Assets (TTM),0.015300000000000001
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,-0.0043
Quick Ratio (MRQ),
Interest Coverage (MRQ),
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2021-10-28 00:00:00
researchTeam since,2022-08-20 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-09-30 00:00:00
cfra since,
marketEdge opinion since,
