,2017,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,20.92,29.9,22.28,25.59,26.91,22.89,,,,,
low,15.1,13.7,10.01,13.0,17.22,14.04,,,,,
change,0.1765,-0.0724,0.2163,-0.04070000000000001,-0.073,0.1648,,,,,
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,,,,186.0,107.0,123.0,134.0,Balance Sheet
"Total Receivables, Net",,,,,,,106.0,166.0,198.0,195.0,Balance Sheet
Invent. - Finished Goods,,,,,,,13.0,37.0,23.0,22.0,Balance Sheet
Invent. - Work In Progress,,,,,,,1.0,35.0,46.0,37.0,Balance Sheet
Invent. - Raw Materials,,,,,,,4.0,8.0,8.0,6.0,Balance Sheet
Total Inventory,,,,,,,17.0,80.0,78.0,65.0,Balance Sheet
Prepaid Expenses,,,,,,,6.0,10.0,12.0,11.0,Balance Sheet
Total Current Assets,,,,,,,316.0,364.0,410.0,405.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,,27.0,28.0,27.0,27.0,Balance Sheet
"Goodwill, Net",,,,,,,,132.0,130.0,130.0,Balance Sheet
Intangibles - Gross,,,,,,,521.0,966.0,956.0,956.0,Balance Sheet
Accum. Intangible Amort.,,,,,,,-252.0,-271.0,-309.0,-346.0,Balance Sheet
Intangibles - Net,,,,,,,269.0,695.0,647.0,610.0,Balance Sheet
Def. Inc. Tax - LT Asset,,,,,,,78.0,26.0,29.0,26.0,Balance Sheet
Restricted Cash - LT,,,,,,,3.0,3.0,3.0,3.0,Balance Sheet
Other Long Term Assets,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Total Assets,,,,,,,692.0,1246.0,1246.0,1201.0,Balance Sheet
Accounts Payable,,,,,,,4.0,4.0,7.0,8.0,Balance Sheet
Accrued Expenses,,,,,,,224.0,265.0,284.0,262.0,Balance Sheet
Notes Payable/ST Debt,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,,,48.0,100.0,121.0,142.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,,,3.0,5.0,3.0,3.0,Balance Sheet
Total Current Liabilities,,,,,,,280.0,374.0,415.0,414.0,Balance Sheet
Total Long Term Debt,,,,,,,202.0,669.0,625.0,582.0,Balance Sheet
Total Debt,,,,,,,250.0,769.0,746.0,724.0,Balance Sheet
"Other Liabilities, Total",,,,,,,8.0,8.0,8.0,7.0,Balance Sheet
Total Liabilities,,,,,,,489.0,1050.0,1048.0,1004.0,Balance Sheet
Common Stock,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,,,,,502.0,513.0,520.0,526.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,,,-256.0,-269.0,-275.0,-274.0,Balance Sheet
Treasury Stock - Common,,,,,,,-43.0,-48.0,-48.0,-54.0,Balance Sheet
Total Equity,,,,,,,203.0,196.0,198.0,197.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,,,692.0,1246.0,1246.0,1201.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,,,34.0,34.0,34.0,34.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,,,2.0,2.0,2.0,3.0,Balance Sheet
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,,,,27362.0,83751.0,123549.0,127013.0,Income Statement
"Cost of Revenue, Total",,,,,,,28695.0,35255.0,71185.0,68174.0,Income Statement
Selling/Gen/Admin Expense,,,,,,,22415.0,22817.0,31983.0,32532.0,Income Statement
Labor & Related Expense,,,,,,,4187.0,4544.0,5692.0,5377.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,,,,26602.0,27361.0,37675.0,37909.0,Income Statement
Research & Development,,,,,,,1609.0,3983.0,0.0,0.0,Income Statement
Restructuring Charge,,,,,,,4578.0,,,,Income Statement
Other Unusual Expnse (In),,,,,,,,27167.0,3579.0,463.0,Income Statement
Unusual Expense (Income),,,,,,,4578.0,27167.0,3579.0,463.0,Income Statement
Total Operating Expense,,,,,,,61484.0,93766.0,112439.0,106546.0,Income Statement
Total Operating Income,,,,,,,-34122.0,-10015.0,11110.0,20467.0,Income Statement
"Inter Expse,Net Non-Operat",,,,,,,-4757.0,-5831.0,-17761.0,-19046.0,Income Statement
"Inter/Invest Inc, Non-Oper",,,,,,,3.0,4.0,5.0,11.0,Income Statement
Income Before Tax,,,,,,,-38876.0,-15842.0,-6646.0,1432.0,Income Statement
Income Tax - Total,,,,,,,-13842.0,-2773.0,-1455.0,975.0,Income Statement
Income After Tax,,,,,,,-25034.0,-13069.0,-5191.0,457.0,Income Statement
Net Inc Before Extra Items,,,,,,,-25034.0,-13069.0,-5191.0,457.0,Income Statement
Total Net Income,,,,,,,-25034.0,-13069.0,-5191.0,457.0,Income Statement
Income Available to Common Excl. Extra. Items,,,,,,,-25034.0,-13069.0,-5191.0,457.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,,,,-25034.0,-13069.0,-5191.0,457.0,Income Statement
Basic/Primary Weighted Average Shares,,,,,,,34114.0,33674.0,34002.0,34570.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,,,,,-0.73,-0.39,-0.15,0.01,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,,,,,-0.73,-0.39,-0.15,0.01,Income Statement
Diluted Weighted Average Shares,,,,,,,34114.0,33674.0,34002.0,34570.0,Income Statement
Diluted EPS Excl. Extra. Items,,,,,,,-0.73,-0.39,-0.15,0.01,Income Statement
Diluted EPS Incl. Extra. Items,,,,,,,-0.73,-0.39,-0.15,0.01,Income Statement
Div/Share-ComStockPrimIssue,,,,,,,,0.0,0.0,0.0,Income Statement
Gross Divid - Common Stock,,,,,,,0.0,0.0,0.0,0.0,Income Statement
Pro Forma Net Income,,,,,,,,,,,Income Statement
"Interest Expense, Suppl",,,,,,,4757.0,5831.0,17761.0,19046.0,Income Statement
"Depreciat/Amort, Suppl",,,,,,,424.0,715.0,656.0,488.0,Income Statement
Total Special Items,,,,,,,4578.0,27167.0,3579.0,463.0,Income Statement
Normalzd Income Before Tax,,,,,,,-34298.0,11325.0,-3067.0,1895.0,Income Statement
Efct/SpecItemsIncTxs (STEC),,,,,,,1602.0,9508.0,1253.0,162.0,Income Statement
IncTxsExcl ImpctofSpec Itms,,,,,,,-12240.0,6735.0,-202.0,1137.0,Income Statement
Normalized Income After Tax,,,,,,,-22058.0,4590.0,-2865.0,758.0,Income Statement
Normalzd Inc Avail to Common,,,,,,,-22058.0,4590.0,-2865.0,758.0,Income Statement
Basic Normalized EPS,,,,,,,-0.65,0.14,-0.08,0.02,Income Statement
Diluted Normalized EPS,,,,,,,-0.65,0.14,-0.08,0.02,Income Statement
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Cash Flow
Net Income,,,,,,,72.0,-13.0,-18.0,-18.0,Cash Flow
Depreciation/Depletion,,,,,,,2.0,1.0,1.0,2.0,Cash Flow
Amortization,,,,,,,67.0,19.0,56.0,94.0,Cash Flow
