,COLL
% Below High,0.0537
% Held by Institutions,1.0988
52-Wk Range,['14.04 - 22.89']
Annual Dividend $,
Annual Dividend %,
Ask,26.08
Ask Size,900.0
B/A Ratio,0.1111111111111111
B/A Size,100x900
Beta,0.8
Bid,8.88
Bid Size,100.0
Closing Price,21.66
Day Change $,0.17
Day Change %,0.0079
Day High,21.98
Day Low,21.34
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.26
Ex-dividend Date,No dividend
Historical Volatility,0.43700000000000006
Last (size),16.0
Last (time),12:59p ET 11/25/22
Market Cap,726.2M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,21.49
Short Interest,0.1186
Today's Open,21.51
Volume,102764.0
Volume 10-day Avg,259119.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-1.7054263565891472
Growth 2yr High Est,-19.8
Growth 2yr Consensus Est,-10.752713178294574
Growth 5yr Low Est,-1.7054263565891472
Growth 5yr High Est,-19.8
Growth 5yr Consensus Est,-10.752713178294574
Growth 5yr Actual/Est,-1.2391629203648344
Growth 3yr Historic,-0.09520123839009287
Price/Earnings (TTM),
Price/Sales (TTM),2.01056
Price/Book (MRQ),3.70991
Price/Cash Flow (TTM),10.35601
5yr Low,10.01
5yr High,29.9
5yr Avg Return,0.06191666666666666
EPS Growth 5yr,
Revenue Growth 5yr,1.765697
Dividend Growth 5yr,
Short Int Current Month,3932335.0
Short Int Prev Month,3836911.0
Short Int Pct of Float,0.11858930000000001
Days to Cover,12.95257
Float,33.15433
Shares Outstanding,33.57192
Institutions Holding Shares,238.0
FCF Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.4379
Operating Profit Margin (TTM),-0.0347
Net Profit Margin (TTM),-0.1184
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),1.0866
EPS Growth (TTM),-1.4815
Revenue Growth (MRQ),0.027999999999999997
Revenue Growth (TTM),0.11019999999999999
Return On Equity (TTM),-0.1911
Return On Assets (TTM),-0.0441
Return On Investment (TTM),-0.068
Revenue Per Employee (TTM),2379441.0
Total Debt/Total Capital (MRQ),0.7858
Change in Debt/Total Capital Quarter over Quarter,0.0070999999999999995
Quick Ratio (MRQ),0.82
Interest Coverage (MRQ),1.1
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-08-20 00:00:00
ford since,2022-11-18 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2022-04-12 00:00:00
