,NDAQ,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",29.38,20.51,Valuation,1.432471964895173
Price/Sales (TTM),5.4,12.46,Valuation,0.4333868378812199
Price/Book (MRQ),5.61,4.63,Valuation,1.2116630669546438
"PEG Ratio (TTM, GAAP)",4.44,2.67,Valuation,1.662921348314607
Gross Profit Margin (TTM),0.5827,0.5835,Profitability,0.9986289631533847
Operating Profit Margin (TTM),0.2551,0.269,Profitability,0.9483271375464684
Net Profit Margin (TTM),0.187,0.1791,Profitability,1.044109436069235
Annual Dividend Yield,0.011899999999999999,0.0257,Dividend,0.4630350194552529
Dividend Change %,0.0876,0.2049,Dividend,0.42752562225475843
"Dividend Growth Rate, 3 Years",0.0747,0.1213,Dividend,0.6158285243198681
EPS Growth (MRQ),-0.04190000000000001,-0.2356,Gowth rates,0.17784380305602718
EPS Growth (TTM),-0.002,-0.0768,Gowth rates,0.026041666666666668
Revenue Growth (MRQ),0.0032,0.0931,Gowth rates,0.034371643394199784
Revenue Growth (TTM),0.0388,0.0447,Gowth rates,0.8680089485458614
Return On Equity (TTM),0.1872,0.1783,Effectiveness,1.049915872125631
Return On Assets (TTM),0.0553,0.0492,Effectiveness,1.1239837398373984
Return On Investment (TTM),0.09369999999999999,0.1008,Effectiveness,0.929563492063492
Revenue Per Employee (TTM),1051084.0,1125238.0,Effectiveness,0.9340992749978226
Total Debt/Total Capital (MRQ),0.4773,0.5241,Financial strength,0.9107040641099027
Change in Debt/Total Capital Quarter over Quarter,-0.0027,0.0008,Financial strength,-3.375
Quick Ratio (MRQ),,0.0,Financial strength,
Interest Coverage (MRQ),26.81,21.92,Financial strength,1.2230839416058392
