,NDAQ
% Below High,0.0482
% Held by Institutions,0.7629
52-Wk Range,['46.77 - 70.55']
Annual Dividend $,0.8
Annual Dividend %,0.011899999999999999
Ask,67.15
Ask Size,100.0
Ask close,71.75
B/A Ratio,1.0
B/A Size,100x100
Beta,0.9
Bid,66.61
Bid Size,100.0
Bid close,62.65
Change Since Close,0.00| |(0.00%)
Closing Price,67.15
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-16 00:00:00
"EPS (TTM, GAAP)",2.29
Ex-dividend,2022-12-01 00:00:00
Ex-dividend Date,12/01/22
Historical Volatility,0.276
Last (size),6.0
Last (time),1:00p ET 11/25/22
Last Trade,67.15
Market Cap,33.0B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",29.38
Prev Close,67.15
Short Interest,0.0144
Today's Open,
Volume,48.0
Volume 10-day Avg,1785268.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-25 00:00:00
Growth Analysts,15.0
Growth 1yr Low Est,-0.6306179775280899
Growth 1yr High Est,-0.6395193591455274
Growth 1yr Consensus Est,-0.6350686683368086
Growth 2yr Low Est,-0.31530898876404495
Growth 2yr High Est,-0.27716708698017106
Growth 2yr Consensus Est,-0.296238037872108
Growth 5yr Low Est,-0.057975429485566304
Growth 5yr High Est,-0.029943217728171684
Growth 5yr Consensus Est,-0.043959323606868994
Growth 5yr Actual/Est,0.1421980428645429
Growth 3yr Historic,0.11420847625138075
Price/Earnings (TTM),29.38358
Price/Sales (TTM),5.39837
Price/Book (MRQ),5.61471
Price/Cash Flow (TTM),23.24836
5yr Low,23.89
5yr High,71.65
5yr Avg Return,0.18791666666666668
EPS Growth 5yr,0.6159570999999999
Revenue Growth 5yr,0.0969994
Dividend Growth 5yr,0.1176343
Short Int Current Month,4900480.0
Short Int Prev Month,6158194.0
Short Int Pct of Float,0.014388000000000001
Days to Cover,2.27263
Float,340.9796
Shares Outstanding,491.2795
Institutions Holding Shares,993.0
FCF Growth 5yr,0.138430969570877
"Price/Earnings (TTM, GAAP)",29.38
"PEG Ratio (TTM, GAAP)",4.44
Gross Profit Margin (TTM),0.5827
Operating Profit Margin (TTM),0.2551
Net Profit Margin (TTM),0.187
Annual Dividend Yield,0.011899999999999999
Dividend Change %,0.0876
"Dividend Growth Rate, 3 Years",0.0747
EPS Growth (MRQ),-0.04190000000000001
EPS Growth (TTM),-0.002
Revenue Growth (MRQ),0.0032
Revenue Growth (TTM),0.0388
Return On Equity (TTM),0.1872
Return On Assets (TTM),0.0553
Return On Investment (TTM),0.09369999999999999
Revenue Per Employee (TTM),1051084.0
Total Debt/Total Capital (MRQ),0.4773
Change in Debt/Total Capital Quarter over Quarter,-0.0027
Quick Ratio (MRQ),
Interest Coverage (MRQ),26.81
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2020-11-23 00:00:00
theStreet since,2010-10-29 00:00:00
cfra since,2022-07-20 00:00:00
ford since,2022-04-22 00:00:00
marketEdge opinion since,
