,J
% Above Low,0.1577
% Held by Institutions,0.8656
52-Wk Range,['106.78 - 150.32']
Annual Dividend $,0.92
Annual Dividend %,0.0074
Ask,144.0
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,0.9
Bid,119.0
Bid Size,100.0
Closing Price,123.62
Day Change $,0.92
Day Change %,0.0075
Day High,124.51
Day Low,122.71
Dividend Pay Date,2022-10-28 00:00:00
"EPS (TTM, GAAP)",3.58
Ex-dividend,2022-09-29 00:00:00
Ex-dividend Date,09/29/22
Historical Volatility,0.29100000000000004
Last (size),20.0
Last (time),5:00p ET 11/25/22
Market Cap,15.8B
"P/E Ratio (TTM, GAAP)",34.52
Prev Close,122.7
Short Interest,0.0131
Today's Open,123.18
Volume,227412.0
Volume 10-day Avg,603363.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-07 00:00:00
Growth Analysts,17.0
Growth 1yr Low Est,0.13990461049284586
Growth 1yr High Est,0.14613180515759305
Growth 1yr Consensus Est,0.14301820782521946
Growth 2yr Low Est,0.11458270970946338
Growth 2yr High Est,0.16431590257879658
Growth 2yr Consensus Est,0.13944930614412998
Growth 5yr Low Est,0.08790163103437913
Growth 5yr High Est,0.13918512069995695
Growth 5yr Consensus Est,0.11354337586716805
Growth 5yr Actual/Est,0.11373817643949724
Growth 3yr Historic,0.062389756652315664
Price/Earnings (TTM),34.52176
Price/Sales (TTM),1.0676
Price/Book (MRQ),2.65807
Price/Cash Flow (TTM),18.50828
5yr Low,55.17
5yr High,150.32
5yr Avg Return,0.1399
EPS Growth 5yr,0.1249379
Revenue Growth 5yr,0.0514857
Dividend Growth 5yr,
Short Int Current Month,1641202.0
Short Int Prev Month,1533642.0
Short Int Pct of Float,0.013128800000000001
Days to Cover,3.15136
Float,125.0844
Shares Outstanding,126.3323
Institutions Holding Shares,843.0
FCF Growth 5yr,-0.30460860394548833
"Price/Earnings (TTM, GAAP)",34.52
"PEG Ratio (TTM, GAAP)",3.23
Gross Profit Margin (TTM),0.22690000000000002
Operating Profit Margin (TTM),0.0588
Net Profit Margin (TTM),0.0373
Annual Dividend Yield,0.0074
Dividend Change %,0.1081
"Dividend Growth Rate, 3 Years",0.1097
EPS Growth (MRQ),1.2283
EPS Growth (TTM),0.0799
Revenue Growth (MRQ),-0.0018
Revenue Growth (TTM),0.043
Return On Equity (TTM),0.0768
Return On Assets (TTM),0.0365
Return On Investment (TTM),0.0493
Revenue Per Employee (TTM),265969.0
Total Debt/Total Capital (MRQ),0.3496
Change in Debt/Total Capital Quarter over Quarter,0.0018
Quick Ratio (MRQ),
Interest Coverage (MRQ),11.0
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
theStreet since,2020-08-04 00:00:00
researchTeam since,2022-02-11 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-02-09 00:00:00
ford since,2022-02-11 00:00:00
marketEdge opinion since,
