,AOS
% Above Low,0.32799999999999996
% Held by Institutions,0.9821
52-Wk Range,['46.58 - 86.74']
Annual Dividend $,1.2
Annual Dividend %,0.0194
Ask,125.55
Ask Size,400.0
B/A Ratio,0.25
B/A Size,100x400
Beta,1.2
Bid,50.0
Bid Size,100.0
Closing Price,61.86
Day Change $,0.33
Day Change %,0.0054
Day High,62.2
Day Low,61.48
Dividend Pay Date,2022-11-15 00:00:00
"EPS (TTM, GAAP)",3.14
Ex-dividend,2022-10-28 00:00:00
Ex-dividend Date,10/28/22
Historical Volatility,0.313
Last (size),21.0
Last (time),5:00p ET 11/25/22
Market Cap,9.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",19.69
Prev Close,61.53
Short Interest,0.044199999999999996
Today's Open,61.69
Volume,455665.0
Volume 10-day Avg,984746.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,13.0
Growth 1yr Low Est,0.04166666666666674
Growth 1yr High Est,0.05405405405405417
Growth 1yr Consensus Est,0.047860360360360454
Growth 2yr Low Est,0.012500000000000067
Growth 2yr High Est,0.09914241164241167
Growth 2yr Consensus Est,0.055821205821205866
Growth 5yr Low Est,0.07767857142857143
Growth 5yr High Est,0.12413260932997777
Growth 5yr Consensus Est,0.1009055903792746
Growth 5yr Actual/Est,0.10829911574944687
Growth 3yr Historic,0.09278028028028026
Price/Earnings (TTM),19.68741
Price/Sales (TTM),2.47835
Price/Book (MRQ),5.57981
Price/Cash Flow (TTM),16.52797
5yr Low,33.81
5yr High,86.74
5yr Avg Return,0.04245
EPS Growth 5yr,0.10336240000000001
Revenue Growth 5yr,0.056709699999999995
Dividend Growth 5yr,0.1716905
Short Int Current Month,5559685.0
Short Int Prev Month,6413854.0
Short Int Pct of Float,0.0441563
Days to Cover,4.91431
Float,125.9309
Shares Outstanding,152.7755
Institutions Holding Shares,792.0
FCF Growth 5yr,3.2958339734726274
"Price/Earnings (TTM, GAAP)",19.69
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.3518
Operating Profit Margin (TTM),0.17
Net Profit Margin (TTM),0.12990000000000002
Annual Dividend Yield,0.0194
Dividend Change %,0.0816
"Dividend Growth Rate, 3 Years",0.1173
EPS Growth (MRQ),-0.12119999999999999
EPS Growth (TTM),0.0883
Revenue Growth (MRQ),-0.0949
Revenue Growth (TTM),0.12890000000000001
Return On Equity (TTM),0.27190000000000003
Return On Assets (TTM),0.1517
Return On Investment (TTM),0.21309999999999998
Revenue Per Employee (TTM),278343.0
Total Debt/Total Capital (MRQ),0.1414
Change in Debt/Total Capital Quarter over Quarter,0.0176
Quick Ratio (MRQ),1.16
Interest Coverage (MRQ),63.08
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-11-04 00:00:00
cfra since,2020-06-19 00:00:00
ford since,2022-11-04 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2020-07-31 00:00:00
