,OPK,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,29.13,Valuation,
Price/Sales (TTM),0.93,1.32,Valuation,0.7045454545454546
Price/Book (MRQ),0.7,4.31,Valuation,0.16241299303944315
"PEG Ratio (TTM, GAAP)",,0.26,Valuation,
Gross Profit Margin (TTM),0.2792,0.1318,Profitability,2.118361153262519
Operating Profit Margin (TTM),-0.1918,0.0458,Profitability,-4.187772925764192
Net Profit Margin (TTM),-0.2591,0.0242,Profitability,-10.706611570247935
Annual Dividend Yield,,0.0108,Dividend,
Dividend Change %,,7.1517,Dividend,
"Dividend Growth Rate, 3 Years",,0.3483,Dividend,
EPS Growth (MRQ),0.19579999999999997,-0.1478,Gowth rates,-1.3247631935047361
EPS Growth (TTM),-4.8523000000000005,-1.101,Gowth rates,4.407175295186195
Revenue Growth (MRQ),-0.42,0.0931,Gowth rates,-4.511278195488721
Revenue Growth (TTM),-0.3468,0.1191,Gowth rates,-2.91183879093199
Return On Equity (TTM),-0.18670000000000003,7.2022,Effectiveness,-0.025922634750492907
Return On Assets (TTM),-0.1362,0.0403,Effectiveness,-3.3796526054590568
Return On Investment (TTM),-0.1545,0.016,Effectiveness,-9.65625
Revenue Per Employee (TTM),211581.0,1375304.0,Effectiveness,0.15384307760320629
Total Debt/Total Capital (MRQ),0.1338,0.4855,Financial strength,0.2755921730175077
Change in Debt/Total Capital Quarter over Quarter,0.0033000000000000004,0.0015,Financial strength,2.2
Quick Ratio (MRQ),1.28,0.31,Financial strength,4.129032258064516
Interest Coverage (MRQ),-46.12,9.55,Financial strength,-4.829319371727748
