,AIR
% Below High,0.1189
% Held by Institutions,0.9645
52-Wk Range,['31.89 - 52.83']
Annual Dividend $,
Annual Dividend %,
Ask,46.97
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.6
Bid,
Bid Size,
Closing Price,46.55
Day Change $,0.09
Day Change %,0.0019
Day High,46.67
Day Low,46.14
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.48
Ex-dividend Date,No dividend
Historical Volatility,0.36100000000000004
Last (size),16.0
Last (time),5:00p ET 11/25/22
Market Cap,1.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",18.79
Prev Close,46.46
Short Interest,0.0362
Today's Open,46.47
Volume,81779.0
Volume 10-day Avg,161488.0
Volume Past Day,(Light)
Next Earnings Announcement,2022-12-20 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,0.23404255319148937
Growth 1yr High Est,0.20967741935483875
Growth 1yr Consensus Est,0.22185998627316406
Growth 2yr Low Est,0.22046955245781363
Growth 2yr High Est,0.19983870967741935
Growth 2yr Consensus Est,0.2101541310676165
Growth 5yr Low Est,0.46102928841540197
Growth 5yr High Est,0.38618088919392973
Growth 5yr Consensus Est,0.42360508880466585
Growth 5yr Actual/Est,0.2163980042576235
Growth 3yr Historic,0.10652405467779158
Price/Earnings (TTM),18.78592
Price/Sales (TTM),0.90168
Price/Book (MRQ),1.57561
Price/Cash Flow (TTM),13.54161
5yr Low,8.56
5yr High,52.83
5yr Avg Return,0.034183333333333336
EPS Growth 5yr,0.0758316
Revenue Growth 5yr,0.027285499999999997
Dividend Growth 5yr,
Short Int Current Month,1210620.0
Short Int Prev Month,1326391.0
Short Int Pct of Float,0.0362467
Days to Cover,5.26755
Float,33.39945
Shares Outstanding,35.08309
Institutions Holding Shares,270.0
FCF Growth 5yr,0.4044639856332221
"Price/Earnings (TTM, GAAP)",18.79
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.1825
Operating Profit Margin (TTM),0.067
Net Profit Margin (TTM),0.0495
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.0403
EPS Growth (TTM),0.2389
Revenue Growth (MRQ),-0.0626
Revenue Growth (TTM),0.0613
Return On Equity (TTM),0.0877
Return On Assets (TTM),0.0572
Return On Investment (TTM),0.0731
Revenue Per Employee (TTM),402489.0
Total Debt/Total Capital (MRQ),0.0992
Change in Debt/Total Capital Quarter over Quarter,-0.0014000000000000002
Quick Ratio (MRQ),1.28
Interest Coverage (MRQ),19.88
newConstructs,rating-box
researchTeam,rating-box
ford,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
newConstructs since,2022-11-26 00:00:00
researchTeam since,2022-08-20 00:00:00
ford since,2022-10-28 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2022-11-11 00:00:00
