,MPWR
% Above Low,0.22399999999999998
% Held by Institutions,0.9809
52-Wk Range,['301.69 - 573.60']
Annual Dividend $,3.0
Annual Dividend %,0.008100000000000001
Ask,530.0
Ask Size,100.0
Ask close,396.3
B/A Ratio,2.0
B/A Size,200x100
Beta,1.1
Bid,235.6
Bid Size,200.0
Bid close,346.44
Change Since Close,-6.87| |(-1.86%)
Closing Price,369.28
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-10-14 00:00:00
"EPS (TTM, GAAP)",8.1
Ex-dividend,2022-09-29 00:00:00
Ex-dividend Date,09/29/22
Historical Volatility,0.61
Last (size),1.0
Last (time),1:00p ET 11/25/22
Last Trade,362.41
Market Cap,17.3B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",45.58
Prev Close,369.28
Short Interest,0.0602
Today's Open,
Volume,1.0
Volume 10-day Avg,539046.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-09 00:00:00
Growth Analysts,12.0
Growth 1yr Low Est,0.7200557103064067
Growth 1yr High Est,0.7094133697135061
Growth 1yr Consensus Est,0.7147345400099564
Growth 2yr Low Est,0.3154934421977378
Growth 2yr High Est,0.39341378780966607
Growth 2yr Consensus Est,0.3544536150037019
Growth 5yr Low Est,0.34245770683444476
Growth 5yr High Est,0.38329612975149463
Growth 5yr Consensus Est,0.3628769182929697
Growth 5yr Actual/Est,0.3712326612533806
Growth 3yr Historic,0.19428591883488794
Price/Earnings (TTM),45.57808
Price/Sales (TTM),10.37611
Price/Book (MRQ),11.32441
Price/Cash Flow (TTM),40.50883
5yr Low,101.99
5yr High,580.0
5yr Avg Return,0.26885000000000003
EPS Growth 5yr,0.32069699999999995
Revenue Growth 5yr,0.25453790000000004
Dividend Growth 5yr,0.2351724
Short Int Current Month,2740033.0
Short Int Prev Month,2612958.0
Short Int Pct of Float,0.06017140000000001
Days to Cover,3.51531
Float,45.62635
Shares Outstanding,46.942
Institutions Holding Shares,909.0
FCF Growth 5yr,0.1238243462554367
"Price/Earnings (TTM, GAAP)",45.58
"PEG Ratio (TTM, GAAP)",1.86
Gross Profit Margin (TTM),0.5834
Operating Profit Margin (TTM),0.2804
Net Profit Margin (TTM),0.23420000000000002
Annual Dividend Yield,0.008100000000000001
Dividend Change %,0.21050000000000002
"Dividend Growth Rate, 3 Years",0.2787
EPS Growth (MRQ),0.0828
EPS Growth (TTM),0.8226000000000001
Revenue Growth (MRQ),0.0747
Revenue Growth (TTM),0.5128
Return On Equity (TTM),0.29050000000000004
Return On Assets (TTM),0.22829999999999998
Return On Investment (TTM),0.269
Revenue Per Employee (TTM),602467.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),3.18
Interest Coverage (MRQ),
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2021-10-29 00:00:00
theStreet since,2013-07-23 00:00:00
cfra since,2021-10-29 00:00:00
ford since,2022-11-04 00:00:00
marketEdge opinion since,
