,LGIH
% Above Low,0.3505
% Held by Institutions,0.879
52-Wk Range,['71.73 - 160.59']
Annual Dividend $,
Annual Dividend %,
Ask,118.0
Ask Size,700.0
Ask close,118.32
B/A Ratio,0.14285714285714285
B/A Size,100x700
Beta,1.6
Bid,76.1
Bid Size,100.0
Bid close,73.08
Change Since Close,-2.90| |(-2.99%)
Closing Price,96.87
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",16.83
Ex-dividend Date,No dividend
Historical Volatility,0.529
Last (size),1.0
Last (time),1:00p ET 11/25/22
Last Trade,93.97
Market Cap,2.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",5.76
Prev Close,96.87
Short Interest,0.1466
Today's Open,
Volume,1.0
Volume 10-day Avg,200463.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-14 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,-0.16626360338573154
Growth 1yr High Est,-0.1562678878076702
Growth 1yr Consensus Est,-0.16126574559670087
Growth 2yr Low Est,-0.34709119255580995
Growth 2yr High Est,-0.18498604702459492
Growth 2yr Consensus Est,-0.26603861979020244
Growth 5yr Low Est,0.20392026108173084
Growth 5yr High Est,0.2796579736386997
Growth 5yr Consensus Est,0.2417891173602153
Growth 5yr Actual/Est,0.16023967123849528
Growth 3yr Historic,0.29238617385169113
Price/Earnings (TTM),5.75552
Price/Sales (TTM),0.86202
Price/Book (MRQ),1.40396
Price/Cash Flow (TTM),5.56779
5yr Low,33.0
5yr High,188.0
5yr Avg Return,0.13678333333333334
EPS Growth 5yr,0.383191
Revenue Growth 5yr,0.29473900000000003
Dividend Growth 5yr,
Short Int Current Month,2999955.0
Short Int Prev Month,3117305.0
Short Int Pct of Float,0.146565
Days to Cover,11.27739
Float,20.46842
Shares Outstanding,23.29029
Institutions Holding Shares,295.0
FCF Growth 5yr,-2.2267482120841193
"Price/Earnings (TTM, GAAP)",5.76
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.2893
Operating Profit Margin (TTM),0.1875
Net Profit Margin (TTM),0.1543
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.2593
EPS Growth (TTM),-0.068
Revenue Growth (MRQ),-0.2434
Revenue Growth (TTM),-0.16820000000000002
Return On Equity (TTM),0.27440000000000003
Return On Assets (TTM),0.1533
Return On Investment (TTM),0.16469999999999999
Revenue Per Employee (TTM),2749232.0
Total Debt/Total Capital (MRQ),0.4336
Change in Debt/Total Capital Quarter over Quarter,0.0028000000000000004
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-08-20 00:00:00
theStreet since,2022-04-08 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-06-10 00:00:00
cfra since,
marketEdge opinion since,
