,LGIH,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",5.76,7.14,Valuation,0.8067226890756303
Price/Sales (TTM),0.86,7.33,Valuation,0.11732605729877217
Price/Book (MRQ),1.4,2.07,Valuation,0.6763285024154589
"PEG Ratio (TTM, GAAP)",,0.43,Valuation,
Gross Profit Margin (TTM),0.2893,0.3091,Profitability,0.9359430604982207
Operating Profit Margin (TTM),0.1875,0.1507,Profitability,1.2441937624419377
Net Profit Margin (TTM),0.1543,0.11320000000000001,Profitability,1.3630742049469964
Annual Dividend Yield,,0.016399999999999998,Dividend,
Dividend Change %,,0.2639,Dividend,
"Dividend Growth Rate, 3 Years",,0.1757,Dividend,
EPS Growth (MRQ),-0.2593,-0.0688,Gowth rates,3.768895348837209
EPS Growth (TTM),-0.068,0.16670000000000001,Gowth rates,-0.40791841631673664
Revenue Growth (MRQ),-0.2434,0.1173,Gowth rates,-2.075021312872975
Revenue Growth (TTM),-0.16820000000000002,0.149,Gowth rates,-1.1288590604026847
Return On Equity (TTM),0.27440000000000003,0.38439999999999996,Effectiveness,0.7138397502601458
Return On Assets (TTM),0.1533,0.135,Effectiveness,1.1355555555555554
Return On Investment (TTM),0.16469999999999999,0.1699,Effectiveness,0.9693937610359035
Revenue Per Employee (TTM),2749232.0,1633986.0,Effectiveness,1.6825309396775738
Total Debt/Total Capital (MRQ),0.4336,0.29309999999999997,Financial strength,1.4793585806891847
Change in Debt/Total Capital Quarter over Quarter,0.0028000000000000004,-0.0005,Financial strength,-5.6000000000000005
Quick Ratio (MRQ),,0.53,Financial strength,
Interest Coverage (MRQ),,51.09,Financial strength,
