,AMCR,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",21.9,,Valuation,
Price/Sales (TTM),1.21,,Valuation,
Price/Book (MRQ),4.58,,Valuation,
"PEG Ratio (TTM, GAAP)",8.14,,Valuation,
Gross Profit Margin (TTM),0.1913,,Profitability,
Operating Profit Margin (TTM),0.0866,,Profitability,
Net Profit Margin (TTM),0.057,,Profitability,
Annual Dividend Yield,0.0406,,Dividend,
Dividend Change %,0.021400000000000002,,Dividend,
"Dividend Growth Rate, 3 Years",-0.06280000000000001,,Dividend,
EPS Growth (MRQ),1.1512,,Gowth rates,
EPS Growth (TTM),-0.0926,,Gowth rates,
Revenue Growth (MRQ),-0.0504,,Gowth rates,
Revenue Growth (TTM),0.1253,,Gowth rates,
Return On Equity (TTM),0.1937,,Effectiveness,
Return On Assets (TTM),0.0493,,Effectiveness,
Return On Investment (TTM),0.066,,Effectiveness,
Revenue Per Employee (TTM),400973.0,,Effectiveness,
Total Debt/Total Capital (MRQ),0.6363000000000001,,Financial strength,
Change in Debt/Total Capital Quarter over Quarter,0.0004,,Financial strength,
Quick Ratio (MRQ),0.71,,Financial strength,
Interest Coverage (MRQ),7.06,,Financial strength,
