,2019,2020,2021,2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Report
high,11.77,12.4,12.92,13.61,,,,,
low,9.18,5.8,10.33,10.42,,,,,
change,-0.024300000000000002,0.0818,0.0265,0.005,,,,,
Date,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,,626.0,1077.0,775.0,562.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,,1913.0,2116.0,1960.0,2007.0,Balance Sheet
Prov. for Doubtful Accts,,,,,-24.0,-26.0,-25.0,-23.0,Balance Sheet
"Total Receivables, Net",,,,,1889.0,2090.0,1935.0,1984.0,Balance Sheet
Invent. - Work In Progress,,,,,1306.0,1396.0,1389.0,1374.0,Balance Sheet
Invent. - Raw Materials,,,,,1088.0,1154.0,1161.0,1216.0,Balance Sheet
LIFO Reserve,,,,,-121.0,-130.0,-111.0,,Balance Sheet
Total Inventory,,,,,2273.0,2420.0,2439.0,2590.0,Balance Sheet
Prepaid Expenses,,,,,603.0,583.0,512.0,549.0,Balance Sheet
"Other Curr. Assets, Total",,,,,,,192.0,164.0,Balance Sheet
Total Current Assets,,,,,5391.0,6170.0,5853.0,5849.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,4236.0,4311.0,4206.0,4125.0,Balance Sheet
"Goodwill, Net",,,,,5370.0,5379.0,5285.0,5237.0,Balance Sheet
Intangibles - Gross,,,,,2545.0,2550.0,2528.0,2510.0,Balance Sheet
Accum. Intangible Amort.,,,,,-796.0,-841.0,-871.0,-901.0,Balance Sheet
Intangibles - Net,,,,,1749.0,1709.0,1657.0,1609.0,Balance Sheet
Pension Bene. - Overfunded,,,,,52.0,52.0,89.0,85.0,Balance Sheet
Def. Inc. Tax - LT Asset,,,,,125.0,139.0,130.0,129.0,Balance Sheet
Other Long Term Assets,,,,,215.0,227.0,206.0,258.0,Balance Sheet
Total Assets,,,,,17138.0,17987.0,17426.0,17292.0,Balance Sheet
Accrued Expenses,,,,,371.0,412.0,572.0,373.0,Balance Sheet
Notes Payable/ST Debt,,,,,115.0,57.0,136.0,62.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,6.0,15.0,14.0,14.0,Balance Sheet
Other Payables,,,,,2743.0,2816.0,3073.0,2839.0,Balance Sheet
Discontinued Operations,,,,,,,65.0,37.0,Balance Sheet
Other Current Liabilities,,,,,1058.0,1124.0,1243.0,1264.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,3801.0,3940.0,4381.0,4140.0,Balance Sheet
Total Current Liabilities,,,,,4293.0,4424.0,5103.0,4589.0,Balance Sheet
Long Term Debt,,,,,6548.0,7177.0,6288.0,6879.0,Balance Sheet
Capital Lease Obligations,,,,,,,52.0,,Balance Sheet
Total Long Term Debt,,,,,6548.0,7177.0,6340.0,6879.0,Balance Sheet
Total Debt,,,,,6669.0,7249.0,6490.0,6955.0,Balance Sheet
Deferred Income Tax,,,,,671.0,651.0,677.0,663.0,Balance Sheet
Minority Interest,,,,,57.0,60.0,59.0,58.0,Balance Sheet
Pension Benefits - Underfunded,,,,,278.0,270.0,201.0,192.0,Balance Sheet
Other LT Liabilities,,,,,829.0,888.0,964.0,993.0,Balance Sheet
"Other Liabilities, Total",,,,,1107.0,1158.0,1165.0,1185.0,Balance Sheet
Total Liabilities,,,,,12676.0,13470.0,13344.0,13374.0,Balance Sheet
Common Stock,,,,,15.0,15.0,15.0,15.0,Balance Sheet
Additional Paid-In Capital,,,,,4854.0,4740.0,4431.0,4412.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,515.0,604.0,534.0,588.0,Balance Sheet
Treasury Stock - Common,,,,,-37.0,-35.0,-18.0,-49.0,Balance Sheet
Cum. Trans. Adjustment,,,,,-806.0,-732.0,-892.0,-1053.0,Balance Sheet
Min. Pension Lblty Adj.,,,,,-51.0,-51.0,40.0,40.0,Balance Sheet
Other Comprehensive Income,,,,,-28.0,-24.0,-28.0,-35.0,Balance Sheet
"Other Equity, Total",,,,,-885.0,-807.0,-880.0,-1048.0,Balance Sheet
Total Equity,,,,,4462.0,4517.0,4082.0,3918.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,17138.0,17987.0,17426.0,17292.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,1510.0,1500.0,1487.0,1485.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,3.0,3.0,2.0,4.0,Balance Sheet
Date,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,,3507.0,3708.0,3909.0,3712.0,Income Statement
"Cost of Revenue, Total",,,,,2862.0,2977.0,3115.0,3044.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,,303.0,326.0,342.0,302.0,Income Statement
Research & Development,,,,,23.0,24.0,24.0,25.0,Income Statement
Unusual Expense (Income),,,,,10.0,9.0,207.0,1.0,Income Statement
Other Operating Expense,,,,,,3.0,,,Income Statement
"Other, Net",,,,,2.0,5.0,-1.0,0.0,Income Statement
"Other Operat Expse, Total",,,,,-13.0,3.0,-31.0,-2.0,Income Statement
Total Operating Expense,,,,,3185.0,3339.0,3657.0,3370.0,Income Statement
Total Operating Income,,,,,322.0,369.0,252.0,342.0,Income Statement
"Inter Expse,Net Non-Operat",,,,,-39.0,-36.0,-44.0,-59.0,Income Statement
"Inter/Invest Inc, Non-Oper",,,,,5.0,5.0,9.0,9.0,Income Statement
OtherNon-OperatInc (Expnse),,,,,2.0,5.0,-1.0,0.0,Income Statement
Income Before Tax,,,,,290.0,343.0,216.0,292.0,Income Statement
Income Tax - Total,,,,,61.0,72.0,104.0,58.0,Income Statement
Income After Tax,,,,,229.0,271.0,112.0,234.0,Income Statement
Minority Interest,,,,,-4.0,-2.0,-3.0,-2.0,Income Statement
Equity In Affiliates,,,,,0.0,0.0,0.0,,Income Statement
Net Inc Before Extra Items,,,,,225.0,269.0,109.0,232.0,Income Statement
Total Extraordinary Items,,,,,,,0.0,,Income Statement
Total Net Income,,,,,225.0,269.0,109.0,232.0,Income Statement
Total Adjust to Net Income,,,,,-1.0,-1.0,-1.0,-2.0,Income Statement
Income Available to Common Excl. Extra. Items,,,,,224.0,268.0,108.0,230.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,,224.0,268.0,108.0,230.0,Income Statement
