,AMCR
% Below High,0.1121
% Held by Institutions,0.4643
52-Wk Range,['10.42 - 13.61']
Annual Dividend $,0.49
Annual Dividend %,0.0406
Ask,12.08
Ask Size,2800.0
B/A Ratio,0.03571428571428571
B/A Size,100x2800
Beta,0.9
Bid,10.49
Bid Size,100.0
Closing Price,12.08
Day Change $,0.0
Day Change %,0.0
Day High,12.18
Day Low,12.06
Dividend Pay Date,2022-12-13 00:00:00
"EPS (TTM, GAAP)",0.55
Ex-dividend,2022-11-22 00:00:00
Ex-dividend Date,11/22/22
Historical Volatility,0.277
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,18.0B
"P/E Ratio (TTM, GAAP)",21.9
Prev Close,12.08
Short Interest,0.019799999999999998
Today's Open,12.13
Volume,3198631.0
Volume 10-day Avg,6910362.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-31 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,-0.025316455696202556
Growth 1yr High Est,-0.012345679012345734
Growth 1yr Consensus Est,-0.018831067354274145
Growth 2yr Low Est,-0.006164721354594727
Growth 2yr High Est,0.03132716049382711
Growth 2yr Consensus Est,0.012581219569616192
Growth 5yr Low Est,0.06154577552341947
Growth 5yr High Est,0.07412511870845201
Growth 5yr Consensus Est,0.06783544711593574
Growth 5yr Actual/Est,0.06919653699057707
Growth 3yr Historic,0.06271114864864868
Price/Earnings (TTM),21.90191
Price/Sales (TTM),1.21241
Price/Book (MRQ),4.57856
Price/Cash Flow (TTM),12.86649
5yr Low,5.8
5yr High,13.61
5yr Avg Return,0.022250000000000002
EPS Growth 5yr,0.0177582
Revenue Growth 5yr,0.0982949
Dividend Growth 5yr,0.021176900000000002
Short Int Current Month,29264536.0
Short Int Prev Month,34530962.0
Short Int Pct of Float,0.019844399999999998
Days to Cover,3.33449
Float,1474.708
Shares Outstanding,1489.02
Institutions Holding Shares,808.0
FCF Growth 5yr,1.3436960642842994
"Price/Earnings (TTM, GAAP)",21.9
"PEG Ratio (TTM, GAAP)",8.14
Gross Profit Margin (TTM),0.1913
Operating Profit Margin (TTM),0.0866
Net Profit Margin (TTM),0.057
Annual Dividend Yield,0.0406
Dividend Change %,0.021400000000000002
"Dividend Growth Rate, 3 Years",-0.06280000000000001
EPS Growth (MRQ),1.1512
EPS Growth (TTM),-0.0926
Revenue Growth (MRQ),-0.0504
Revenue Growth (TTM),0.1253
Return On Equity (TTM),0.1937
Return On Assets (TTM),0.0493
Return On Investment (TTM),0.066
Revenue Per Employee (TTM),400973.0
Total Debt/Total Capital (MRQ),0.6363000000000001
Change in Debt/Total Capital Quarter over Quarter,0.0004
Quick Ratio (MRQ),0.71
Interest Coverage (MRQ),7.06
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
theStreet,rating-box
marketEdge opinion,
researchTeam since,2022-08-19 00:00:00
cfra since,2022-08-19 00:00:00
ford since,2022-11-04 00:00:00
newConstructs since,2022-11-25 00:00:00
theStreet since,2022-11-11 00:00:00
marketEdge opinion since,
