,PIPR
% Below High,0.2184
% Held by Institutions,0.6572
52-Wk Range,['102.60 - 187.00']
Annual Dividend $,2.4
Annual Dividend %,0.016200000000000003
Ask,146.49
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.4
Bid,145.93
Bid Size,100.0
Day Change $,-1.65
Day Change %,-0.011200000000000002
Day High,146.59
Day Low,145.09
Dividend Pay Date,2022-12-09 00:00:00
"EPS (TTM, GAAP)",10.79
Ex-dividend,2022-11-22 00:00:00
Ex-dividend Date,11/22/22
Historical Volatility,0.401
Last (size),1.0
Last (time),10:42a ET 11/28/22
Market Cap,2.6B
"P/E Ratio (TTM, GAAP)",13.7
Prev Close,147.81
Price,146.16
Short Interest,0.03
Today's Open,146.58
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-10 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.007626310772163913
Growth 2yr High Est,0.35314995563442775
Growth 2yr Consensus Est,0.18038813320329583
Growth 5yr Low Est,0.007626310772163913
Growth 5yr High Est,0.35314995563442775
Growth 5yr Consensus Est,0.18038813320329583
Growth 5yr Actual/Est,0.2947103022662792
Growth 3yr Historic,0.3872594484943157
Price/Earnings (TTM),13.69647
Price/Sales (TTM),1.55728
Price/Book (MRQ),2.01802
Price/Cash Flow (TTM),11.91836
5yr Low,31.95
5yr High,193.6
5yr Avg Return,0.15266666666666667
EPS Growth 5yr,
Revenue Growth 5yr,0.2153979
Dividend Growth 5yr,
Short Int Current Month,516282.0
Short Int Prev Month,652273.0
Short Int Pct of Float,0.029974599999999997
Days to Cover,5.9913
Float,17.24558
Shares Outstanding,17.83295
Institutions Holding Shares,323.0
FCF Growth 5yr,-0.626058956881835
"Price/Earnings (TTM, GAAP)",13.7
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.9826
Operating Profit Margin (TTM),0.1539
Net Profit Margin (TTM),0.1115
Annual Dividend Yield,0.016200000000000003
Dividend Change %,0.56
"Dividend Growth Rate, 3 Years",0.09140000000000001
EPS Growth (MRQ),-0.313
EPS Growth (TTM),-0.114
Revenue Growth (MRQ),-0.056799999999999996
Revenue Growth (TTM),-0.059699999999999996
Return On Equity (TTM),0.18789999999999998
Return On Assets (TTM),0.0891
Return On Investment (TTM),0.1655
Revenue Per Employee (TTM),1016592.0
Total Debt/Total Capital (MRQ),0.1574
Change in Debt/Total Capital Quarter over Quarter,-0.0022
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-05-06 00:00:00
theStreet since,2020-11-02 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-05-06 00:00:00
cfra since,
marketEdge opinion since,
