,MCO
% Above Low,0.3078
% Held by Institutions,0.9334
52-Wk Range,['230.16 - 403.73']
Annual Dividend $,2.8
Annual Dividend %,0.009300000000000001
Ask,320.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.2
Bid,245.33
Bid Size,100.0
Closing Price,301.0
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-14 00:00:00
"EPS (TTM, GAAP)",8.37
Ex-dividend,2022-11-22 00:00:00
Ex-dividend Date,11/22/22
Historical Volatility,0.342
Last (size),7.0
Last (time),5:00p ET 11/25/22
Market Cap,55.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",35.97
Prev Close,301.0
Short Interest,0.02
Today's Open,
Volume,430382.0
Volume 10-day Avg,864901.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-09 00:00:00
Growth Analysts,16.0
Growth 1yr Low Est,-0.33061224489795926
Growth 1yr High Est,-0.2885375494071146
Growth 1yr Consensus Est,-0.30957489715253694
Growth 2yr Low Est,-0.19701343952215034
Growth 2yr High Est,-0.05760210803689064
Growth 2yr Consensus Est,-0.1273077737795205
Growth 5yr Low Est,0.016001559966961565
Growth 5yr High Est,0.08302338475476037
Growth 5yr Consensus Est,0.04951247236086097
Growth 5yr Actual/Est,0.060106185581171145
Growth 3yr Historic,0.10880103632484978
Price/Earnings (TTM),35.96929
Price/Sales (TTM),9.64548
Price/Book (MRQ),24.44873
Price/Cash Flow (TTM),29.4254
5yr Low,129.26
5yr High,407.94
5yr Avg Return,0.1605166666666667
EPS Growth 5yr,0.5390867
Revenue Growth 5yr,0.11524010000000001
Dividend Growth 5yr,0.1087611
Short Int Current Month,3657151.0
Short Int Prev Month,3410161.0
Short Int Pct of Float,0.0200218
Days to Cover,4.01355
Float,182.6632
Shares Outstanding,183.2
Institutions Holding Shares,1369.0
FCF Growth 5yr,0.05673743076649566
"Price/Earnings (TTM, GAAP)",35.97
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.7047
Operating Profit Margin (TTM),0.3658
Net Profit Margin (TTM),0.272
Annual Dividend Yield,0.009300000000000001
Dividend Change %,0.10710000000000001
"Dividend Growth Rate, 3 Years",0.1211
EPS Growth (MRQ),-0.0684
EPS Growth (TTM),-0.2503
Revenue Growth (MRQ),-0.0768
Revenue Growth (TTM),-0.0422
Return On Equity (TTM),0.6638
Return On Assets (TTM),0.1097
Return On Investment (TTM),0.1345
Revenue Per Employee (TTM),424740.0
Total Debt/Total Capital (MRQ),0.7547
Change in Debt/Total Capital Quarter over Quarter,0.0003
Quick Ratio (MRQ),
Interest Coverage (MRQ),15.92
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2018-07-30 00:00:00
theStreet since,2018-05-03 00:00:00
cfra since,2018-07-30 00:00:00
ford since,2022-07-08 00:00:00
marketEdge opinion since,
