,MCO
Price/Earnings (TTM),35.96929
Price/Sales (TTM),9.64548
Price/Book (MRQ),24.44873
Price/Cash Flow (TTM),29.4254
5yr Low,129.26
5yr High,407.94
5yr Avg Return,0.1605166666666667
EPS Growth 5yr,0.5390867
Revenue Growth 5yr,0.11524010000000001
Dividend Growth 5yr,0.1087611
Short Int Current Month,3657151.0
Short Int Prev Month,3410161.0
Short Int Pct of Float,0.0200218
Days to Cover,4.01355
Float,182.6632
Shares Outstanding,183.2
Institutions Holding Shares,1369.0
% Held by Institutions,0.933376
FCF Growth 5yr,0.05673743076649566
