,PFC
Price/Earnings (TTM),10.40704
Price/Sales (TTM),3.46096
Price/Book (MRQ),1.2133
Price/Cash Flow (TTM),9.23961
5yr Low,10.98
5yr High,35.9
5yr Avg Return,0.034883333333333336
EPS Growth 5yr,0.1625646
Revenue Growth 5yr,0.2275676
Dividend Growth 5yr,0.190001
Short Int Current Month,435372.0
Short Int Prev Month,463889.0
Short Int Pct of Float,0.012459199999999998
Days to Cover,4.25189
Float,34.94967
Shares Outstanding,35.56638
Institutions Holding Shares,203.0
% Held by Institutions,0.6715099999999999
FCF Growth 5yr,0.37501659365458656
