,ED
% Below High,0.0461
% Held by Institutions,0.6678000000000001
52-Wk Range,['77.50 - 102.21']
Annual Dividend $,3.16
Annual Dividend %,0.032400000000000005
Ask,105.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.3
Bid,87.55
Bid Size,100.0
Closing Price,97.5
Day Change $,0.83
Day Change %,0.0086
Day High,97.64
Day Low,96.67
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",4.77
Ex-dividend,2022-11-15 00:00:00
Ex-dividend Date,11/15/22
Historical Volatility,0.22100000000000003
Last (size),16.0
Last (time),5:00p ET 11/25/22
Market Cap,34.6B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",20.46
Prev Close,96.67
Short Interest,0.0206
Today's Open,97.03
Volume,830009.0
Volume 10-day Avg,1933097.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,17.0
Growth 1yr Low Est,0.06971153846153855
Growth 1yr High Est,0.06018518518518512
Growth 1yr Consensus Est,0.06494836182336183
Growth 2yr Low Est,0.05620408383751074
Growth 2yr High Est,0.07703582403364051
Growth 2yr Consensus Est,0.06661995393557563
Growth 5yr Low Est,0.022249052496276733
Growth 5yr High Est,0.03466289392758004
Growth 5yr Consensus Est,0.028455973211928387
Growth 5yr Actual/Est,0.02403419822806105
Growth 3yr Historic,0.0011442834982849648
Price/Earnings (TTM),20.45827
Price/Sales (TTM),2.29818
Price/Book (MRQ),1.66823
Price/Cash Flow (TTM),9.28337
5yr Low,62.03
5yr High,102.21
5yr Avg Return,0.029333333333333333
EPS Growth 5yr,-0.0135314
Revenue Growth 5yr,0.025213700000000002
Dividend Growth 5yr,0.0295451
Short Int Current Month,7309548.0
Short Int Prev Month,7816432.0
Short Int Pct of Float,0.0206269
Days to Cover,4.16246
Float,354.4268
Shares Outstanding,354.8629
Institutions Holding Shares,1366.0
FCF Growth 5yr,39.44307502088555
"Price/Earnings (TTM, GAAP)",20.46
"PEG Ratio (TTM, GAAP)",4.15
Gross Profit Margin (TTM),0.4832
Operating Profit Margin (TTM),0.1684
Net Profit Margin (TTM),0.10710000000000001
Annual Dividend Yield,0.032400000000000005
Dividend Change %,0.0131
"Dividend Growth Rate, 3 Years",0.027200000000000002
EPS Growth (MRQ),1.4012
EPS Growth (TTM),0.4226
Revenue Growth (MRQ),0.21960000000000002
Revenue Growth (TTM),0.1387
Return On Equity (TTM),0.08310000000000001
Return On Assets (TTM),0.025099999999999997
Return On Investment (TTM),0.0278
Revenue Per Employee (TTM),1085358.0
Total Debt/Total Capital (MRQ),0.5454
Change in Debt/Total Capital Quarter over Quarter,0.0003
Quick Ratio (MRQ),0.75
Interest Coverage (MRQ),3.93
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2021-02-19 00:00:00
cfra since,2021-02-23 00:00:00
ford since,2022-10-07 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2021-10-21 00:00:00
