,ED,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",20.46,23.73,Valuation,0.8621997471554994
Price/Sales (TTM),2.3,2.69,Valuation,0.8550185873605948
Price/Book (MRQ),1.67,2.13,Valuation,0.784037558685446
"PEG Ratio (TTM, GAAP)",4.15,0.62,Valuation,6.693548387096775
Gross Profit Margin (TTM),0.4832,0.2545,Profitability,1.8986247544204322
Operating Profit Margin (TTM),0.1684,0.1723,Profitability,0.9773650609402205
Net Profit Margin (TTM),0.10710000000000001,0.10310000000000001,Profitability,1.0387972841901068
Annual Dividend Yield,0.032400000000000005,0.0332,Dividend,0.9759036144578315
Dividend Change %,0.0131,-0.0167,Dividend,-0.784431137724551
"Dividend Growth Rate, 3 Years",0.027200000000000002,0.016399999999999998,Dividend,1.658536585365854
EPS Growth (MRQ),1.4012,0.7661,Gowth rates,1.8290040464691293
EPS Growth (TTM),0.4226,0.38189999999999996,Gowth rates,1.106572401152134
Revenue Growth (MRQ),0.21960000000000002,0.2281,Gowth rates,0.9627356422621658
Revenue Growth (TTM),0.1387,0.1961,Gowth rates,0.7072921978582356
Return On Equity (TTM),0.08310000000000001,0.08710000000000001,Effectiveness,0.9540757749712974
Return On Assets (TTM),0.025099999999999997,0.0227,Effectiveness,1.1057268722466957
Return On Investment (TTM),0.0278,0.0265,Effectiveness,1.049056603773585
Revenue Per Employee (TTM),1085358.0,960944.0,Effectiveness,1.129470603906159
Total Debt/Total Capital (MRQ),0.5454,0.5784,Financial strength,0.9429460580912863
Change in Debt/Total Capital Quarter over Quarter,0.0003,0.0002,Financial strength,1.4999999999999998
Quick Ratio (MRQ),0.75,0.59,Financial strength,1.2711864406779663
Interest Coverage (MRQ),3.93,3.04,Financial strength,1.292763157894737
