,2017,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,34.75,34.45,20.42,21.67,54.86,59.96,,,,,
low,31.69,13.25,12.32,3.55,16.51,32.53,,,,,
change,-0.008199999999999999,-0.5092,0.2258,0.0226,1.504,-0.1366,,,,,
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,,,,221.0,202.0,179.0,170.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,,,,19.0,21.0,19.0,22.0,Balance Sheet
Prov. for Doubtful Accts,,,,,,,0.0,-1.0,-1.0,-1.0,Balance Sheet
"Total Receivables, Net",,,,,,,19.0,21.0,19.0,21.0,Balance Sheet
Total Inventory,,,,,,,7.0,7.0,7.0,7.0,Balance Sheet
Prepaid Expenses,,,,,,,15.0,24.0,20.0,18.0,Balance Sheet
Discont. Ops.-Curr. Assets,,,,,,,,,,41.0,Balance Sheet
Other Current Assets,,,,,,,3.0,3.0,3.0,8.0,Balance Sheet
"Other Curr. Assets, Total",,,,,,,3.0,3.0,3.0,50.0,Balance Sheet
Total Current Assets,,,,,,,264.0,258.0,228.0,266.0,Balance Sheet
Buildings,,,,,,,938.0,940.0,940.0,915.0,Balance Sheet
Land/Improvements,,,,,,,125.0,125.0,125.0,125.0,Balance Sheet
Construction in Progress,,,,,,,16.0,20.0,24.0,21.0,Balance Sheet
Other Prop./Plant/Equip.,,,,,,,426.0,422.0,410.0,391.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,,,1505.0,1507.0,1500.0,1452.0,Balance Sheet
Accumulated Depreciation,,,,,,,-421.0,-446.0,-462.0,-453.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,,1083.0,1061.0,1037.0,999.0,Balance Sheet
"Goodwill, Net",,,,,,,158.0,158.0,158.0,158.0,Balance Sheet
Intangibles - Gross,,,,,,,193.0,193.0,193.0,191.0,Balance Sheet
Accum. Intangible Amort.,,,,,,,-95.0,-97.0,-99.0,-99.0,Balance Sheet
Intangibles - Net,,,,,,,98.0,96.0,94.0,91.0,Balance Sheet
Other Long Term Assets,,,,,,,12.0,12.0,14.0,16.0,Balance Sheet
Total Assets,,,,,,,1616.0,1604.0,1547.0,1548.0,Balance Sheet
Accounts Payable,,,,,,,19.0,24.0,20.0,19.0,Balance Sheet
Accrued Expenses,,,,,,,92.0,94.0,83.0,96.0,Balance Sheet
Notes Payable/ST Debt,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,,,1.0,1.0,1.0,1.0,Balance Sheet
Security Deposits,,,,,,,2.0,4.0,4.0,3.0,Balance Sheet
Discontinued Operations,,,,,,,,,,10.0,Balance Sheet
Other Current Liabilities,,,,,,,12.0,11.0,12.0,10.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,,,15.0,16.0,15.0,24.0,Balance Sheet
Total Current Liabilities,,,,,,,127.0,135.0,119.0,139.0,Balance Sheet
Total Long Term Debt,,,,,,,1010.0,987.0,951.0,927.0,Balance Sheet
Total Debt,,,,,,,1012.0,987.0,952.0,927.0,Balance Sheet
Deferred Income Tax,,,,,,,2.0,0.0,0.0,0.0,Balance Sheet
"Other Liabilities, Total",,,,,,,157.0,150.0,142.0,130.0,Balance Sheet
Total Liabilities,,,,,,,1296.0,1271.0,1212.0,1195.0,Balance Sheet
Common Stock,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,,,,,478.0,471.0,474.0,477.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,,,-159.0,-138.0,-139.0,-125.0,Balance Sheet
