,BCC
Price/Earnings (TTM),3.19252
Price/Sales (TTM),0.33725
Price/Book (MRQ),1.45254
Price/Cash Flow (TTM),2.87611
5yr Low,20.08
5yr High,85.17
5yr Avg Return,0.16515000000000002
EPS Growth 5yr,0.7882405
Revenue Growth 5yr,0.15172739999999998
Dividend Growth 5yr,
Short Int Current Month,733161.0
Short Int Prev Month,904402.0
Short Int Pct of Float,0.0187088
Days to Cover,2.4246
Float,39.18325
Shares Outstanding,39.44771
Institutions Holding Shares,404.0
% Held by Institutions,0.933276
FCF Growth 5yr,0.46637571289470015
