,BCC
% Below High,0.1427
% Held by Institutions,0.9333
52-Wk Range,['55.14 - 85.17']
Annual Dividend $,0.6
Annual Dividend %,0.008199999999999999
Ask,85.0
Ask Size,100.0
B/A Ratio,3.0
B/A Size,300x100
Beta,1.6
Bid,66.12
Bid Size,300.0
Closing Price,73.02
Day Change $,0.44
Day Change %,0.0060999999999999995
Day High,73.84
Day Low,72.69
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",22.87
Ex-dividend,2022-11-30 00:00:00
Ex-dividend Date,11/30/22
Historical Volatility,0.563
Last (size),314.0
Last (time),5:00p ET 11/25/22
Market Cap,2.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",3.19
Prev Close,72.58
Short Interest,0.0187
Today's Open,72.69
Volume,62730.0
Volume 10-day Avg,207799.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-21 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.7619047619047619
Growth 2yr High Est,-0.4651685393258427
Growth 2yr Consensus Est,-0.6135366506153023
Growth 5yr Low Est,-0.7619047619047619
Growth 5yr High Est,-0.4651685393258427
Growth 5yr Consensus Est,-0.6135366506153023
Growth 5yr Actual/Est,0.9518888498586623
Growth 3yr Historic,1.0506592757806348
Price/Earnings (TTM),3.19252
Price/Sales (TTM),0.33725
Price/Book (MRQ),1.45254
Price/Cash Flow (TTM),2.87611
5yr Low,20.08
5yr High,85.17
5yr Avg Return,0.16515000000000002
EPS Growth 5yr,0.7882405
Revenue Growth 5yr,0.15172739999999998
Dividend Growth 5yr,
Short Int Current Month,733161.0
Short Int Prev Month,904402.0
Short Int Pct of Float,0.0187088
Days to Cover,2.4246
Float,39.18325
Shares Outstanding,39.44771
Institutions Holding Shares,404.0
FCF Growth 5yr,0.46637571289470015
"Price/Earnings (TTM, GAAP)",3.19
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.2303
Operating Profit Margin (TTM),0.1439
Net Profit Margin (TTM),0.10650000000000001
Annual Dividend Yield,0.008199999999999999
Dividend Change %,0.1
"Dividend Growth Rate, 3 Years",-0.3031
EPS Growth (MRQ),0.0064
EPS Growth (TTM),0.5931000000000001
Revenue Growth (MRQ),-0.0542
Revenue Growth (TTM),0.12150000000000001
Return On Equity (TTM),0.5529999999999999
Return On Assets (TTM),0.3063
Return On Investment (TTM),0.4044
Revenue Per Employee (TTM),1397903.0
Total Debt/Total Capital (MRQ),0.1932
Change in Debt/Total Capital Quarter over Quarter,-0.0023
Quick Ratio (MRQ),1.91
Interest Coverage (MRQ),80.91
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-11-04 00:00:00
ford since,2022-11-04 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2020-07-24 00:00:00
