,UP
% Above Low,0.2727
% Held by Institutions,0.5056
52-Wk Range,['0.99 - 5.04']
Annual Dividend $,
Annual Dividend %,
Ask,1.29
Ask Size,700.0
B/A Ratio,1.4285714285714286
B/A Size,1000x700
Beta,
Bid,1.2
Bid Size,1000.0
Closing Price,1.26
Day Change $,-0.03
Day Change %,-0.0233
Day High,1.35
Day Low,1.23
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.41
Ex-dividend Date,No dividend
Historical Volatility,0.793
Last (size),9.0
Last (time),7:00p ET 11/28/22
Market Cap,308.1M
"P/E Ratio (TTM, GAAP)",
Prev Close,1.29
Short Interest,0.0231
Today's Open,1.3
Volume,1187999.0
Volume 10-day Avg,893542.0
Volume Past Day,(Heavy Day)
Next Earnings Announcement,2023-03-09 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.1470588235294117
Growth 2yr High Est,-0.31313131313131304
Growth 2yr Consensus Est,-0.08303624480095068
Growth 5yr Low Est,0.1470588235294117
Growth 5yr High Est,-0.31313131313131304
Growth 5yr Consensus Est,-0.08303624480095068
Growth 5yr Actual/Est,0.23049804980498045
Growth 3yr Historic,0.0
Price/Earnings (TTM),
Price/Sales (TTM),0.21053
Price/Book (MRQ),0.62228
Price/Cash Flow (TTM),
5yr Low,0.99
5yr High,15.0
5yr Avg Return,-0.4121333333333333
Short Int Current Month,5121121.0
Short Int Prev Month,4662465.0
Short Int Pct of Float,0.0230518
Days to Cover,4.42449
Float,223.5158
Shares Outstanding,247.503
Institutions Holding Shares,235.0
FCF Growth 5yr,-1.3320190630783646
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.0181
Operating Profit Margin (TTM),-0.2366
Net Profit Margin (TTM),-0.2277
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.0649
EPS Growth (TTM),-1.5138
Revenue Growth (MRQ),-0.0121
Revenue Growth (TTM),0.7858
Return On Equity (TTM),-0.5328
Return On Assets (TTM),-0.1981
Return On Investment (TTM),-0.4539
Revenue Per Employee (TTM),711994.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,-0.01
Quick Ratio (MRQ),0.42
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-11-25 00:00:00
theStreet since,2022-11-25 00:00:00
ford since,2022-11-25 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
