,SCS
% Above Low,0.2699
% Held by Institutions,0.9153
52-Wk Range,['6.52 - 12.93']
Annual Dividend $,0.4
Annual Dividend %,0.0473
Ask,8.29
Ask Size,600.0
B/A Ratio,0.6666666666666666
B/A Size,400x600
Beta,1.4
Bid,8.28
Bid Size,400.0
Day Change $,-0.18
Day Change %,-0.0213
Day High,8.41
Day Low,8.25
Dividend Pay Date,2022-10-17 00:00:00
"EPS (TTM, GAAP)",0.13
Ex-dividend,2022-10-04 00:00:00
Ex-dividend Date,10/04/22
Historical Volatility,0.406
Last (size),100.0
Last (time),1:50p ET 11/28/22
Market Cap,934.9M
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",63.76
Prev Close,8.46
Price,8.28
Short Interest,0.032799999999999996
Today's Open,8.37
Volume Past Day,(Light)
Next Earnings Announcement,2022-12-15 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,7.0
Growth 1yr High Est,8.333333333333334
Growth 1yr Consensus Est,7.666666666666667
Growth 2yr Low Est,3.75
Growth 2yr High Est,4.470238095238096
Growth 2yr Consensus Est,4.1101190476190474
Growth 5yr Low Est,3.75
Growth 5yr High Est,4.470238095238096
Growth 5yr Consensus Est,4.1101190476190474
Growth 5yr Actual/Est,3.4007351336606653
Growth 3yr Historic,-0.3989102564102564
Price/Earnings (TTM),63.75763
Price/Sales (TTM),0.30826
Price/Book (MRQ),1.19358
Price/Cash Flow (TTM),9.41906
5yr Low,6.52
5yr High,23.02
5yr Avg Return,-0.06846666666666666
EPS Growth 5yr,-0.4938251
Revenue Growth 5yr,-0.0177472
Dividend Growth 5yr,0.0219332
Short Int Current Month,2885620.0
Short Int Prev Month,3372776.0
Short Int Pct of Float,0.0328087
Days to Cover,4.8222
Float,106.1788
Shares Outstanding,112.7838
Institutions Holding Shares,268.0
FCF Growth 5yr,0.16237117524719644
"Price/Earnings (TTM, GAAP)",63.76
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.2724
Operating Profit Margin (TTM),0.0111
Net Profit Margin (TTM),0.005
Annual Dividend Yield,0.04730000000000001
Dividend Change %,0.4459
"Dividend Growth Rate, 3 Years",-0.0031
EPS Growth (MRQ),2.7091000000000003
EPS Growth (TTM),1.9764
Revenue Growth (MRQ),0.1655
Revenue Growth (TTM),0.2016
Return On Equity (TTM),0.0178
Return On Assets (TTM),0.0068000000000000005
Return On Investment (TTM),0.009300000000000001
Revenue Per Employee (TTM),262314.0
Total Debt/Total Capital (MRQ),0.41350000000000003
Change in Debt/Total Capital Quarter over Quarter,0.0017000000000000001
Quick Ratio (MRQ),0.77
Interest Coverage (MRQ),8.17
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-08-20 00:00:00
theStreet since,2020-12-21 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-07-29 00:00:00
cfra since,
marketEdge opinion since,
