,SCS,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",63.76,49.52,Valuation,1.2875605815831985
Price/Sales (TTM),0.31,4.95,Valuation,0.06262626262626263
Price/Book (MRQ),1.19,8.39,Valuation,0.14183551847437423
"PEG Ratio (TTM, GAAP)",,29.16,Valuation,
Gross Profit Margin (TTM),0.2724,0.3995,Profitability,0.6818523153942427
Operating Profit Margin (TTM),0.0111,-0.031400000000000004,Profitability,-0.3535031847133758
Net Profit Margin (TTM),0.005,-0.042300000000000004,Profitability,-0.11820330969267138
Annual Dividend Yield,0.04730000000000001,0.011000000000000001,Dividend,4.300000000000001
Dividend Change %,0.4459,0.0031,Dividend,143.83870967741936
"Dividend Growth Rate, 3 Years",-0.0031,0.076,Dividend,-0.04078947368421053
EPS Growth (MRQ),2.7091000000000003,0.2798,Gowth rates,9.68227305218013
EPS Growth (TTM),1.9764,0.017,Gowth rates,116.25882352941176
Revenue Growth (MRQ),0.1655,6.526000000000001,Gowth rates,0.025360098069261414
Revenue Growth (TTM),0.2016,0.4152,Gowth rates,0.48554913294797686
Return On Equity (TTM),0.0178,0.24,Effectiveness,0.07416666666666667
Return On Assets (TTM),0.0068000000000000005,0.08750000000000001,Effectiveness,0.07771428571428571
Return On Investment (TTM),0.009300000000000001,0.11080000000000001,Effectiveness,0.08393501805054152
Revenue Per Employee (TTM),262314.0,300327.0,Effectiveness,0.8734279635197635
Total Debt/Total Capital (MRQ),0.41350000000000003,0.4451,Financial strength,0.9290047180408898
Change in Debt/Total Capital Quarter over Quarter,0.0017000000000000001,0.0070999999999999995,Financial strength,0.2394366197183099
Quick Ratio (MRQ),0.77,1.37,Financial strength,0.5620437956204379
Interest Coverage (MRQ),8.17,18.65,Financial strength,0.4380697050938338
