,LPSN
% Above Low,0.38939999999999997
% Held by Institutions,0.8465
52-Wk Range,['7.96 - 41.05']
Annual Dividend $,
Annual Dividend %,
Ask,10.87
Ask Size,800.0
Ask close,13.53
B/A Ratio,0.125
B/A Size,100x800
Beta,1.4
Bid,10.79
Bid Size,100.0
Bid close,8.6
Change Since Close,-0.26| |(-2.35%)
Closing Price,11.06
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-3.08
Ex-dividend Date,No dividend
Historical Volatility,0.923
Last (size),67.0
Last (time),1:00p ET 11/25/22
Last Trade,10.8
Market Cap,833.1M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,11.06
Short Interest,0.08439999999999999
Today's Open,
Volume,97.0
Volume 10-day Avg,1029042.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,3.46875
Growth 1yr High Est,5.414634146341464
Growth 1yr Consensus Est,4.4416920731707314
Growth 2yr Low Est,1.5578015734265733
Growth 2yr High Est,2.148381711954002
Growth 2yr Consensus Est,1.8530916426902877
Growth 5yr Low Est,0.7789007867132867
Growth 5yr High Est,1.074190855977001
Growth 5yr Consensus Est,0.9265458213451437
Growth 5yr Actual/Est,2.8574211253862414
Growth 3yr Historic,1.6740384615384614
Price/Earnings (TTM),
Price/Sales (TTM),1.6142
Price/Book (MRQ),9.29027
Price/Cash Flow (TTM),
5yr Low,7.96
5yr High,72.23
5yr Avg Return,0.19815000000000005
EPS Growth 5yr,
Revenue Growth 5yr,0.16084759999999998
Dividend Growth 5yr,
Short Int Current Month,5895372.0
Short Int Prev Month,6626957.0
Short Int Pct of Float,0.0844331
Days to Cover,4.4338
Float,70.09487
Shares Outstanding,75.32807
Institutions Holding Shares,247.0
FCF Growth 5yr,0.5211405106701236
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.6458
Operating Profit Margin (TTM),-0.4422
Net Profit Margin (TTM),-0.45310000000000006
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.4301
EPS Growth (TTM),-1.3934
Revenue Growth (MRQ),-0.0227
Revenue Growth (TTM),0.1522
Return On Equity (TTM),-1.3303
Return On Assets (TTM),-0.21600000000000003
Return On Investment (TTM),-0.2747
Revenue Per Employee (TTM),335146.0
Total Debt/Total Capital (MRQ),0.8921
Change in Debt/Total Capital Quarter over Quarter,0.0026000000000000003
Quick Ratio (MRQ),
Interest Coverage (MRQ),
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2021-03-08 00:00:00
theStreet since,2021-12-02 00:00:00
ford since,2022-05-13 00:00:00
cfra since,
marketEdge opinion since,
