,CAR
% Above Low,0.6989
% Held by Institutions,1.0127
52-Wk Range,['131.83 - 327.80']
Annual Dividend $,
Annual Dividend %,
Ask,224.98
Ask Size,300.0
B/A Ratio,0.6666666666666666
B/A Size,200x300
Beta,2.3
Bid,224.0
Bid Size,200.0
Closing Price,223.96
Day Change $,1.17
Day Change %,0.0053
Day High,224.64
Day Low,219.7
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",53.62
Ex-dividend Date,No dividend
Historical Volatility,0.7490000000000001
Last (size),2.0
Last (time),1:00p ET 11/25/22
Market Cap,9.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",4.18
Prev Close,222.79
Short Interest,0.1391
Today's Open,220.31
Volume,204981.0
Volume 10-day Avg,506427.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-13 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,1.1103896103896105
Growth 1yr High Est,1.4096842105263159
Growth 1yr Consensus Est,1.2600369104579632
Growth 2yr Low Est,0.2892607392607393
Growth 2yr High Est,0.4560215565998695
Growth 2yr Consensus Est,0.3726411479303044
Growth 5yr Low Est,-1.052506376871859
Growth 5yr High Est,-1.3421990064900813
Growth 5yr Consensus Est,-1.19735269168097
Growth 5yr Actual/Est,-1.6098729000947347
Growth 3yr Historic,-1.8272695249597422
Price/Earnings (TTM),4.17684
Price/Sales (TTM),0.78755
Price/Book (MRQ),
Price/Cash Flow (TTM),2.07388
5yr Low,6.35
5yr High,545.11
5yr Avg Return,0.8190833333333333
EPS Growth 5yr,0.6191208
Revenue Growth 5yr,0.014669000000000001
Dividend Growth 5yr,
Short Int Current Month,5652261.0
Short Int Prev Month,4927972.0
Short Int Pct of Float,0.1390591
Days to Cover,6.99375
Float,40.70181
Shares Outstanding,41.46641
Institutions Holding Shares,386.0
FCF Growth 5yr,0.25309238448610283
"Price/Earnings (TTM, GAAP)",4.18
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.5633
Operating Profit Margin (TTM),0.2782
Net Profit Margin (TTM),0.23010000000000003
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.37920000000000004
EPS Growth (TTM),3.3377
Revenue Growth (MRQ),0.0934
Revenue Growth (TTM),0.456
Return On Equity (TTM),
Return On Assets (TTM),0.1159
Return On Investment (TTM),0.1306
Revenue Per Employee (TTM),561524.0
Total Debt/Total Capital (MRQ),1.0295
Change in Debt/Total Capital Quarter over Quarter,0.0003
Quick Ratio (MRQ),
Interest Coverage (MRQ),6.76
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2021-08-06 00:00:00
ford since,2022-11-04 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2021-08-04 00:00:00
