,CAR,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",4.18,29.96,Valuation,0.13951935914552735
Price/Sales (TTM),0.79,3.76,Valuation,0.21010638297872342
Price/Book (MRQ),,7.0,Valuation,
"PEG Ratio (TTM, GAAP)",,3.13,Valuation,
Gross Profit Margin (TTM),0.5633,0.5844,Profitability,0.9638945927446954
Operating Profit Margin (TTM),0.2782,0.2133,Profitability,1.3042662916080638
Net Profit Margin (TTM),0.23010000000000003,0.1038,Profitability,2.216763005780347
Annual Dividend Yield,,0.013000000000000001,Dividend,
Dividend Change %,,0.09210000000000002,Dividend,
"Dividend Growth Rate, 3 Years",,0.09480000000000001,Dividend,
EPS Growth (MRQ),0.37920000000000004,0.3065,Gowth rates,1.237194127243067
EPS Growth (TTM),3.3377,0.0956,Gowth rates,34.913179916317986
Revenue Growth (MRQ),0.0934,0.2373,Gowth rates,0.3935946059839865
Revenue Growth (TTM),0.456,0.2979,Gowth rates,1.5307150050352467
Return On Equity (TTM),,0.1677,Effectiveness,
Return On Assets (TTM),0.1159,0.065,Effectiveness,1.783076923076923
Return On Investment (TTM),0.1306,0.06480000000000001,Effectiveness,2.0154320987654315
Revenue Per Employee (TTM),561524.0,723294.0,Effectiveness,0.7763426766985486
Total Debt/Total Capital (MRQ),1.0295,0.5356000000000001,Financial strength,1.9221433905899925
Change in Debt/Total Capital Quarter over Quarter,0.0003,0.0005,Financial strength,0.6
Quick Ratio (MRQ),,0.75,Financial strength,
Interest Coverage (MRQ),6.76,13.38,Financial strength,0.5052316890881913
