,MTCH
Price/Earnings (TTM),132.7101
Price/Sales (TTM),4.11461
Price/Book (MRQ),
Price/Cash Flow (TTM),66.44456
5yr Low,27.59
5yr High,182.0
5yr Avg Return,0.23069999999999996
EPS Growth 5yr,0.0664917
Revenue Growth 5yr,0.2168633
Dividend Growth 5yr,
Short Int Current Month,11823930.0
Short Int Prev Month,11185900.0
Short Int Pct of Float,0.0426102
Days to Cover,1.90035
Float,277.548
Shares Outstanding,279.3061
Institutions Holding Shares,918.0
% Held by Institutions,0.955453
FCF Growth 5yr,-13.400905368855952
