,MTCH,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",132.71,18.12,Valuation,7.3239514348785875
Price/Sales (TTM),4.11,4.52,Valuation,0.9092920353982302
Price/Book (MRQ),,5.02,Valuation,
"PEG Ratio (TTM, GAAP)",6.19,8.0,Valuation,0.77375
Gross Profit Margin (TTM),0.7012999999999999,0.6097,Profitability,1.1502378218796128
Operating Profit Margin (TTM),0.1995,0.24480000000000002,Profitability,0.8149509803921569
Net Profit Margin (TTM),0.0336,0.1981,Profitability,0.16961130742049468
Annual Dividend Yield,,0.0001,Dividend,
Dividend Change %,,0.0003,Dividend,
"Dividend Growth Rate, 3 Years",,,Dividend,
EPS Growth (MRQ),4.8396,-0.2712,Gowth rates,-17.845132743362832
EPS Growth (TTM),-0.8139000000000001,-0.0227,Gowth rates,35.85462555066079
Revenue Growth (MRQ),0.0189,0.7634000000000001,Gowth rates,0.024757663086193343
Revenue Growth (TTM),0.1344,1.7572999999999999,Gowth rates,0.07648096511694076
Return On Equity (TTM),,0.2407,Effectiveness,
Return On Assets (TTM),0.0245,0.16899999999999998,Effectiveness,0.14497041420118345
Return On Investment (TTM),0.028900000000000002,0.20510000000000003,Effectiveness,0.14090687469527058
Revenue Per Employee (TTM),1283504.0,1707732.0,Effectiveness,0.7515839721923581
Total Debt/Total Capital (MRQ),1.2197,0.0821,Financial strength,14.856272838002434
Change in Debt/Total Capital Quarter over Quarter,0.002,0.028999999999999998,Financial strength,0.06896551724137932
Quick Ratio (MRQ),,1.88,Financial strength,
Interest Coverage (MRQ),5.72,29.8,Financial strength,0.1919463087248322
