,MTCH
% Above Low,0.17500000000000002
% Held by Institutions,0.9555
52-Wk Range,['40.23 - 141.40']
Annual Dividend $,
Annual Dividend %,
Ask,52.3
Ask Size,100.0
Ask close,50.16
B/A Ratio,1.0
B/A Size,100x100
Beta,0.8
Bid,43.0
Bid Size,100.0
Bid close,44.37
Change Since Close,-0.26| |(-0.55%)
Closing Price,47.27
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.36
Ex-dividend Date,No dividend
Historical Volatility,0.5529999999999999
Last (size),50.0
Last (time),1:00p ET 11/25/22
Last Trade,47.01
Market Cap,13.2B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",132.71
Prev Close,47.27
Short Interest,0.0426
Today's Open,
Volume,311.0
Volume 10-day Avg,3335245.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-31 00:00:00
Growth Analysts,16.0
Growth 1yr Low Est,-0.2514619883040935
Growth 1yr High Est,-0.20634920634920628
Growth 1yr Consensus Est,-0.2289055973266499
Growth 2yr Low Est,-0.1608872441520468
Growth 2yr High Est,0.27682539682539686
Growth 2yr Consensus Est,0.05796907633667503
Growth 5yr Low Est,-0.0804436220760234
Growth 5yr High Est,0.13841269841269843
Growth 5yr Consensus Est,0.028984538168337515
Growth 5yr Actual/Est,0.669374244852526
Growth 3yr Historic,0.6238020069906415
Price/Earnings (TTM),132.7101
Price/Sales (TTM),4.11461
Price/Book (MRQ),
Price/Cash Flow (TTM),66.44456
5yr Low,27.59
5yr High,182.0
5yr Avg Return,0.23069999999999996
EPS Growth 5yr,0.0664917
Revenue Growth 5yr,0.2168633
Dividend Growth 5yr,
Short Int Current Month,11823930.0
Short Int Prev Month,11185900.0
Short Int Pct of Float,0.0426102
Days to Cover,1.90035
Float,277.548
Shares Outstanding,279.3061
Institutions Holding Shares,918.0
FCF Growth 5yr,-13.400905368855952
"Price/Earnings (TTM, GAAP)",132.71
"PEG Ratio (TTM, GAAP)",6.19
Gross Profit Margin (TTM),0.7012999999999999
Operating Profit Margin (TTM),0.1995
Net Profit Margin (TTM),0.0336
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),4.8396
EPS Growth (TTM),-0.8139000000000001
Revenue Growth (MRQ),0.0189
Revenue Growth (TTM),0.1344
Return On Equity (TTM),
Return On Assets (TTM),0.0245
Return On Investment (TTM),0.028900000000000002
Revenue Per Employee (TTM),1283504.0
Total Debt/Total Capital (MRQ),1.2197
Change in Debt/Total Capital Quarter over Quarter,0.002
Quick Ratio (MRQ),
Interest Coverage (MRQ),5.72
newConstructs,rating-box
theStreet,rating-box
cfra,
ford,rating-box
marketEdge opinion,
marketEdge,rating-box
newConstructs since,2022-11-28 00:00:00
theStreet since,2020-08-11 00:00:00
cfra since,2022-10-07 00:00:00
ford since,2022-11-11 00:00:00
marketEdge opinion since,
marketEdge since,2022-09-30 00:00:00
