,ACAD,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,471.78,Valuation,
Price/Sales (TTM),4.78,45.03,Valuation,0.10615145458583167
Price/Book (MRQ),5.75,12.61,Valuation,0.4559873116574148
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),0.9798000000000001,0.5874,Profitability,1.6680286006128704
Operating Profit Margin (TTM),-0.4344,-4.7459,Profitability,0.09153163783476265
Net Profit Margin (TTM),-0.42490000000000006,-4.5467,Profitability,0.09345239404403194
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),0.20170000000000002,-0.0014000000000000002,Gowth rates,-144.07142857142856
EPS Growth (TTM),-0.1219,0.027200000000000002,Gowth rates,-4.481617647058823
Revenue Growth (MRQ),-0.0286,1.3963999999999999,Gowth rates,-0.02048123746777428
Revenue Growth (TTM),0.0782,0.9747,Gowth rates,0.08022981430183647
Return On Equity (TTM),-0.4379,0.1967,Effectiveness,-2.2262328418912047
Return On Assets (TTM),-0.3293,0.0016,Effectiveness,-205.81249999999997
Return On Investment (TTM),-0.3897,0.0219,Effectiveness,-17.794520547945204
Revenue Per Employee (TTM),995142.0,1476201.0,Effectiveness,0.6741236457636867
Total Debt/Total Capital (MRQ),0.0,0.4675,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0036,Financial strength,
Quick Ratio (MRQ),4.42,2.06,Financial strength,2.145631067961165
Interest Coverage (MRQ),,2.69,Financial strength,
