,ACAD
% Above Low,0.2345
% Held by Institutions,0.9162
52-Wk Range,['12.24 - 28.06']
Annual Dividend $,
Annual Dividend %,
Ask,15.5
Ask Size,300.0
B/A Ratio,4.0
B/A Size,1200x300
Beta,0.6
Bid,14.9
Bid Size,1200.0
Closing Price,15.11
Day Change $,0.11
Day Change %,0.0073
Day High,15.54
Day Low,14.99
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.34
Ex-dividend Date,No dividend
Historical Volatility,0.77
Last (size),59.0
Last (time),12:59p ET 11/25/22
Market Cap,2.4B
"P/E Ratio (TTM, GAAP)",
Prev Close,15.0
Short Interest,0.0559
Today's Open,15.04
Volume,316898.0
Volume 10-day Avg,930004.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-27 00:00:00
Growth Analysts,21.0
Growth 1yr Low Est,0.20869565217391295
Growth 1yr High Est,0.3294117647058823
Growth 1yr Consensus Est,0.2690537084398976
Growth 2yr Low Est,0.12952768220206445
Growth 2yr High Est,-0.20255075481520046
Growth 2yr Consensus Est,-0.036511536306568004
Growth 5yr Low Est,0.0009299526233613464
Growth 5yr High Est,-0.20557696704551603
Growth 5yr Consensus Est,-0.10232350721107734
Growth 5yr Actual/Est,-0.11165146829427558
Growth 3yr Historic,-0.0736644553072626
Price/Earnings (TTM),
Price/Sales (TTM),4.78351
Price/Book (MRQ),5.74574
Price/Cash Flow (TTM),
5yr Low,12.24
5yr High,58.72
5yr Avg Return,0.10571666666666667
EPS Growth 5yr,
Revenue Growth 5yr,0.9463921999999999
Dividend Growth 5yr,
Short Int Current Month,9040684.0
Short Int Prev Month,10439023.0
Short Int Pct of Float,0.0559121
Days to Cover,5.31669
Float,161.6999
Shares Outstanding,161.931
Institutions Holding Shares,295.0
FCF Growth 5yr,-0.07262357938885074
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.9798000000000001
Operating Profit Margin (TTM),-0.4344
Net Profit Margin (TTM),-0.42490000000000006
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.20170000000000002
EPS Growth (TTM),-0.1219
Revenue Growth (MRQ),-0.0286
Revenue Growth (TTM),0.0782
Return On Equity (TTM),-0.4379
Return On Assets (TTM),-0.3293
Return On Investment (TTM),-0.3897
Revenue Per Employee (TTM),995142.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),4.42
Interest Coverage (MRQ),
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
theStreet,rating-box
marketEdge opinion,
researchTeam since,2013-03-27 00:00:00
ford since,2022-11-04 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
theStreet since,2021-04-12 00:00:00
marketEdge opinion since,
