,CHRS,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,471.78,Valuation,
Price/Sales (TTM),2.14,45.03,Valuation,0.047523872973573175
Price/Book (MRQ),,12.61,Valuation,
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),0.7156,0.5874,Profitability,1.2182499148791284
Operating Profit Margin (TTM),-1.0506,-4.7459,Profitability,0.22137002465285827
Net Profit Margin (TTM),-1.1654,-4.5467,Profitability,0.2563177689313128
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),-0.7234999999999999,-0.0014000000000000002,Gowth rates,516.7857142857141
EPS Growth (TTM),-0.1487,0.027200000000000002,Gowth rates,-5.466911764705882
Revenue Growth (MRQ),-0.24480000000000002,1.3963999999999999,Gowth rates,-0.17530793468920083
Revenue Growth (TTM),-0.3425,0.9747,Gowth rates,-0.3513901713347697
Return On Equity (TTM),-16.5706,0.1967,Effectiveness,-84.24300965937975
Return On Assets (TTM),-0.4311,0.0016,Effectiveness,-269.4375
Return On Investment (TTM),-0.6957,0.0219,Effectiveness,-31.767123287671232
Revenue Per Employee (TTM),720063.0,1476201.0,Effectiveness,0.487781135495776
Total Debt/Total Capital (MRQ),1.2602,0.4675,Financial strength,2.695614973262032
Change in Debt/Total Capital Quarter over Quarter,0.005600000000000001,0.0036,Financial strength,1.5555555555555558
Quick Ratio (MRQ),2.45,2.06,Financial strength,1.1893203883495147
Interest Coverage (MRQ),-10.67,2.69,Financial strength,-3.966542750929368
