,CHRS
% Above Low,0.17500000000000002
% Held by Institutions,1.0131999999999999
52-Wk Range,['5.60 - 18.94']
Annual Dividend $,
Annual Dividend %,
Ask,6.72
Ask Size,100.0
B/A Ratio,7.0
B/A Size,700x100
Beta,1.0
Bid,6.5
Bid Size,700.0
Closing Price,6.58
Day Change $,0.03
Day Change %,0.0046
Day High,6.6
Day Low,6.47
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-3.6
Ex-dividend Date,No dividend
Historical Volatility,0.659
Last (size),5.0
Last (time),1:00p ET 11/25/22
Market Cap,511.8M
"P/E Ratio (TTM, GAAP)",
Prev Close,6.55
Short Interest,0.1394
Today's Open,6.53
Volume,239423.0
Volume 10-day Avg,1082803.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.367741935483871
Growth 2yr High Est,-0.7227722772277227
Growth 2yr Consensus Est,-0.5452571063557969
Growth 5yr Low Est,-0.367741935483871
Growth 5yr High Est,-0.7227722772277227
Growth 5yr Consensus Est,-0.5452571063557969
Growth 5yr Actual/Est,-0.09613391948399116
Growth 3yr Historic,-0.3512872628726287
Price/Earnings (TTM),
Price/Sales (TTM),2.14079
Price/Book (MRQ),
Price/Cash Flow (TTM),
5yr Low,5.6
5yr High,23.91
5yr Avg Return,0.05345000000000002
EPS Growth 5yr,
Revenue Growth 5yr,0.1142715
Dividend Growth 5yr,
Short Int Current Month,9978800.0
Short Int Prev Month,9319257.0
Short Int Pct of Float,0.1393545
Days to Cover,7.3203
Float,71.60728
Shares Outstanding,77.77794
Institutions Holding Shares,247.0
FCF Growth 5yr,0.5662619773307579
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.7156
Operating Profit Margin (TTM),-1.0506
Net Profit Margin (TTM),-1.1654
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.7234999999999999
EPS Growth (TTM),-0.1487
Revenue Growth (MRQ),-0.24480000000000002
Revenue Growth (TTM),-0.3425
Return On Equity (TTM),-16.5706
Return On Assets (TTM),-0.4311
Return On Investment (TTM),-0.6957
Revenue Per Employee (TTM),720063.0
Total Debt/Total Capital (MRQ),1.2602
Change in Debt/Total Capital Quarter over Quarter,0.005600000000000001
Quick Ratio (MRQ),2.45
Interest Coverage (MRQ),-10.67
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
theStreet,rating-box
marketEdge opinion,
researchTeam since,2021-04-23 00:00:00
ford since,2022-11-04 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
theStreet since,2021-05-18 00:00:00
marketEdge opinion since,
