,2020,2021,2022,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Report
high,61.29,87.19,84.14,,,,,
low,22.0,34.48,17.33,,,,,
change,1.0611,0.5863,-0.7534000000000001,,,,,
Date,,,,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,Balance Sheet
Cash & Equivalents,,,,41.0,60.0,31.0,55.0,Balance Sheet
Short Term Investments,,,,326.0,280.0,259.0,400.0,Balance Sheet
Cash and Short Term Invs,,,,367.0,340.0,289.0,455.0,Balance Sheet
"Total Receivables, Net",,,,0.0,0.0,,,Balance Sheet
Prepaid Expenses,,,,10.0,11.0,12.0,12.0,Balance Sheet
"Other Curr. Assets, Total",,,,0.0,0.0,0.0,0.0,Balance Sheet
Total Current Assets,,,,378.0,351.0,301.0,468.0,Balance Sheet
Buildings,,,,0.0,5.0,5.0,5.0,Balance Sheet
Machinery/Equipment,,,,2.0,2.0,3.0,3.0,Balance Sheet
Construction in Progress,,,,3.0,0.0,0.0,0.0,Balance Sheet
Other Prop./Plant/Equip.,,,,1.0,47.0,46.0,45.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,6.0,54.0,53.0,53.0,Balance Sheet
Accumulated Depreciation,,,,-1.0,-1.0,-1.0,-1.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,5.0,53.0,52.0,52.0,Balance Sheet
"Goodwill, Net",,,,4.0,4.0,4.0,4.0,Balance Sheet
Intangibles - Net,,,,0.0,0.0,,,Balance Sheet
Long Term Investments,,,,39.0,37.0,36.0,30.0,Balance Sheet
Deferred Charges,,,,6.0,7.0,10.0,12.0,Balance Sheet
Restricted Cash - LT,,,,3.0,3.0,3.0,3.0,Balance Sheet
Total Assets,,,,435.0,455.0,406.0,568.0,Balance Sheet
Accounts Payable,,,,8.0,12.0,13.0,12.0,Balance Sheet
Accrued Expenses,,,,31.0,31.0,30.0,36.0,Balance Sheet
Notes Payable/ST Debt,,,,0.0,0.0,0.0,0.0,Balance Sheet
"Other Curr. Lblts, Total",,,,1.0,1.0,1.0,1.0,Balance Sheet
Total Current Liabilities,,,,39.0,44.0,43.0,49.0,Balance Sheet
Total Long Term Debt,,,,0.0,0.0,0.0,0.0,Balance Sheet
Total Debt,,,,0.0,0.0,0.0,0.0,Balance Sheet
Deferred Income Tax,,,,2.0,2.0,2.0,1.0,Balance Sheet
Minority Interest,,,,1.0,1.0,0.0,0.0,Balance Sheet
"Other Liabilities, Total",,,,0.0,44.0,45.0,45.0,Balance Sheet
Total Liabilities,,,,42.0,91.0,90.0,95.0,Balance Sheet
Redeemable Preferred Stock,,,,,0.0,0.0,0.0,Balance Sheet
Common Stock,,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,,703.0,724.0,735.0,961.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,-310.0,-360.0,-419.0,-487.0,Balance Sheet
Unrealized Gain (Loss),,,,,,-1.0,-2.0,Balance Sheet
"Other Equity, Total",,,,0.0,0.0,,,Balance Sheet
Total Equity,,,,393.0,364.0,315.0,472.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,435.0,455.0,406.0,568.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,45.0,45.0,46.0,57.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,Income Statement
Total Revenue,,,,0.0,0.0,0.0,0.0,Income Statement
Selling/Gen/Admin Expense,,,,4913.0,11395.0,6662.0,8027.0,Income Statement
Labor & Related Expense,,,,3959.0,-1641.0,5105.0,11609.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,8872.0,9754.0,11767.0,19636.0,Income Statement
Research & Development,,,,45198.0,38439.0,46112.0,43825.0,Income Statement
Purchased R&D Written-Off,,,,8800.0,0.0,,,Income Statement
Other Unusual Expnse (In),,,,-51582.0,0.0,,,Income Statement
Unusual Expense (Income),,,,-42782.0,0.0,,,Income Statement
Total Operating Expense,,,,11288.0,48193.0,57879.0,63461.0,Income Statement
Total Operating Income,,,,-11288.0,-48193.0,-57879.0,-63461.0,Income Statement
"Inter/Invest Inc, Non-Oper",,,,99.0,88.0,426.0,424.0,Income Statement
Income Before Tax,,,,-11189.0,-48105.0,-57453.0,-63037.0,Income Statement
Income Tax - Total,,,,-697.0,159.0,33.0,17.0,Income Statement
Income After Tax,,,,-10492.0,-48264.0,-57486.0,-63054.0,Income Statement
Minority Interest,,,,6301.0,36.0,160.0,35.0,Income Statement
Equity In Affiliates,,,,,-1831.0,-1751.0,-5338.0,Income Statement
Net Inc Before Extra Items,,,,-4191.0,-50059.0,-59077.0,-68357.0,Income Statement
Total Net Income,,,,-4191.0,-50059.0,-59077.0,-68357.0,Income Statement
Income Available to Common Excl. Extra. Items,,,,-4191.0,-50059.0,-59077.0,-68357.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,-4191.0,-50059.0,-59077.0,-68357.0,Income Statement
Basic/Primary Weighted Average Shares,,,,44609.0,44998.0,45244.0,51117.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,,-0.09,-1.11,-1.31,-1.34,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,,-0.09,-1.11,-1.31,-1.34,Income Statement
Diluted Weighted Average Shares,,,,44609.0,44998.0,45244.0,51117.0,Income Statement
Diluted EPS Excl. Extra. Items,,,,-0.09,-1.11,-1.31,-1.34,Income Statement
Diluted EPS Incl. Extra. Items,,,,-0.09,-1.11,-1.31,-1.34,Income Statement
Div/Share-ComStockPrimIssue,,,,0.0,,0.0,0.0,Income Statement
Gross Divid - Common Stock,,,,0.0,0.0,0.0,0.0,Income Statement
Pro Forma Net Income,,,,,,,,Income Statement
"Depreciat/Amort, Suppl",,,,137.0,209.0,344.0,348.0,Income Statement
Total Special Items,,,,-42782.0,0.0,,,Income Statement
Normalzd Income Before Tax,,,,-53971.0,-48105.0,-57453.0,-63037.0,Income Statement
Efct/SpecItemsIncTxs (STEC),,,,-18054.0,0.0,,,Income Statement
IncTxsExcl ImpctofSpec Itms,,,,-18751.0,159.0,33.0,17.0,Income Statement
Normalized Income After Tax,,,,-35220.0,-48264.0,-57486.0,-63054.0,Income Statement
Normalzd Inc Avail to Common,,,,-28919.0,-50059.0,-59077.0,-68357.0,Income Statement
Basic Normalized EPS,,,,-0.65,-1.11,-1.31,-1.34,Income Statement
Diluted Normalized EPS,,,,-0.65,-1.11,-1.31,-1.34,Income Statement
Date,,,,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,Cash Flow
Net Income,,,,-115998.0,-166093.0,-59237.0,-127629.0,Cash Flow
Depreciation/Depletion,,,,335.0,544.0,344.0,692.0,Cash Flow
Deferred Taxes,,,,,0.0,,,Cash Flow
Unusual Items,,,,-52377.0,-52377.0,0.0,57.0,Cash Flow
Purchased R&D,,,,8800.0,8800.0,,,Cash Flow
Equity in Net Earnings/Loss,,,,,1831.0,1751.0,7089.0,Cash Flow
Other Non-Cash Items,,,,27978.0,36645.0,10293.0,26928.0,Cash Flow
Non-Cash Items,,,,-15599.0,-5101.0,12044.0,34074.0,Cash Flow
Accounts Receivable,,,,309.0,413.0,0.0,,Cash Flow
Prepaid Expenses,,,,1696.0,881.0,-4154.0,-6663.0,Cash Flow
Accrued Expenses,,,,,1347.0,,,Cash Flow
Payable/Accrued,,,,12310.0,13916.0,-574.0,4025.0,Cash Flow
Changes in Working Capital,,,,14190.0,16557.0,-3347.0,-360.0,Cash Flow
Total Cash from Operations,,,,-117072.0,-154093.0,-50196.0,-93223.0,Cash Flow
Capital Expenditures,,,,-3916.0,-6107.0,-450.0,-728.0,Cash Flow
Acquisition of Business,,,,-14320.0,-14320.0,,,Cash Flow
Sale/Maturity of Investment,,,,237139.0,365820.0,99500.0,156000.0,Cash Flow
Purchase of Investments,,,,-280285.0,-363508.0,-79254.0,-277576.0,Cash Flow
"OtherInvestCashFlowItms,Tot",,,,-57466.0,-12008.0,20246.0,-121576.0,Cash Flow
Total Cash from Investing,,,,-61382.0,-18115.0,19796.0,-122304.0,Cash Flow
Financing Cash Flow Items,,,,0.0,-1146.0,,0.0,Cash Flow
"Common Stock, Net",,,,166254.0,179667.0,1258.0,209297.0,Cash Flow
