,VAC
% Below High,0.1703
% Held by Institutions,0.8375
52-Wk Range,['110.08 - 174.74']
Annual Dividend $,2.48
Annual Dividend %,0.0168
Ask,250.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,2.1
Bid,110.0
Bid Size,100.0
Closing Price,144.99
Day Change $,-2.51
Day Change %,-0.017
Day High,146.72
Day Low,144.75
Dividend Pay Date,2022-10-06 00:00:00
"EPS (TTM, GAAP)",7.97
Ex-dividend,2022-09-21 00:00:00
Ex-dividend Date,09/21/22
Historical Volatility,0.423
Last (size),1.0
Last (time),7:00p ET 11/28/22
Market Cap,5.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",18.5
Prev Close,147.5
Short Interest,0.0535
Today's Open,145.46
Volume,233191.0
Volume 10-day Avg,283881.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,1.407766990291262
Growth 1yr High Est,1.473067915690867
Growth 1yr Consensus Est,1.4404174529910645
Growth 2yr Low Est,0.6812020435327277
Growth 2yr High Est,0.8520642608757365
Growth 2yr Consensus Est,0.7666331522042321
Growth 5yr Low Est,0.22081593959190118
Growth 5yr High Est,0.308971109267258
Growth 5yr Consensus Est,0.2648935244295796
Growth 5yr Actual/Est,-2.591761862217936
Growth 3yr Historic,-2.9588490539194767
Price/Earnings (TTM),18.49947
Price/Sales (TTM),1.23735
Price/Book (MRQ),2.17417
Price/Cash Flow (TTM),11.44174
5yr Low,30.1
5yr High,190.97
5yr Avg Return,0.08700000000000001
EPS Growth 5yr,-0.23416810000000002
Revenue Growth 5yr,0.14230980000000001
Dividend Growth 5yr,-0.0288133
Short Int Current Month,1897776.0
Short Int Prev Month,1949105.0
Short Int Pct of Float,0.0535069
Days to Cover,4.51989
Float,35.49867
Shares Outstanding,38.32014
Institutions Holding Shares,443.0
FCF Growth 5yr,0.2648359898359898
"Price/Earnings (TTM, GAAP)",18.5
"PEG Ratio (TTM, GAAP)",0.49
Gross Profit Margin (TTM),0.5309
Operating Profit Margin (TTM),0.1355
Net Profit Margin (TTM),0.0792
Annual Dividend Yield,0.0168
Dividend Change %,
"Dividend Growth Rate, 3 Years",-0.1317
EPS Growth (MRQ),-0.1413
EPS Growth (TTM),7.6091
Revenue Growth (MRQ),0.0756
Revenue Growth (TTM),0.2915
Return On Equity (TTM),0.13
Return On Assets (TTM),0.0386
Return On Investment (TTM),0.043
Revenue Per Employee (TTM),225025.0
Total Debt/Total Capital (MRQ),0.6343
Change in Debt/Total Capital Quarter over Quarter,0.0007000000000000001
Quick Ratio (MRQ),
Interest Coverage (MRQ),7.15
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-08-20 00:00:00
theStreet since,2022-08-10 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2021-04-16 00:00:00
cfra since,
marketEdge opinion since,
