,VAC,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",18.5,114.03,Valuation,0.16223800754187495
Price/Sales (TTM),1.24,5.62,Valuation,0.22064056939501778
Price/Book (MRQ),2.17,8.49,Valuation,0.25559481743227325
"PEG Ratio (TTM, GAAP)",0.49,0.53,Valuation,0.9245283018867924
Gross Profit Margin (TTM),0.5309,0.4054,Profitability,1.3095707942772572
Operating Profit Margin (TTM),0.1355,0.163,Profitability,0.8312883435582822
Net Profit Margin (TTM),0.0792,0.0779,Profitability,1.0166880616174585
Annual Dividend Yield,0.0168,0.011200000000000002,Dividend,1.4999999999999998
Dividend Change %,,0.056100000000000004,Dividend,
"Dividend Growth Rate, 3 Years",-0.1317,0.031000000000000003,Dividend,-4.248387096774193
EPS Growth (MRQ),-0.1413,0.3309,Gowth rates,-0.4270172257479601
EPS Growth (TTM),7.6091,2.1359,Gowth rates,3.562479516831312
Revenue Growth (MRQ),0.0756,0.38439999999999996,Gowth rates,0.19667013527575444
Revenue Growth (TTM),0.2915,0.7695000000000001,Gowth rates,0.3788174139051331
Return On Equity (TTM),0.13,0.19090000000000001,Effectiveness,0.680984808800419
Return On Assets (TTM),0.0386,0.0758,Effectiveness,0.5092348284960422
Return On Investment (TTM),0.043,0.1005,Effectiveness,0.4278606965174129
Revenue Per Employee (TTM),225025.0,285753.0,Effectiveness,0.7874807963520943
Total Debt/Total Capital (MRQ),0.6343,1.1596,Financial strength,0.5469989651604001
Change in Debt/Total Capital Quarter over Quarter,0.0007000000000000001,0.002,Financial strength,0.35000000000000003
Quick Ratio (MRQ),,0.81,Financial strength,
Interest Coverage (MRQ),7.15,40.22,Financial strength,0.17777225261064147
