,IQV
% Above Low,0.3272
% Held by Institutions,0.895
52-Wk Range,['165.75 - 285.61']
Annual Dividend $,
Annual Dividend %,
Ask,226.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.4
Bid,219.18
Bid Size,100.0
Closing Price,219.98
Day Change $,2.26
Day Change %,0.0104
Day High,220.43
Day Low,217.83
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",6.15
Ex-dividend Date,No dividend
Historical Volatility,0.36700000000000005
Last (size),394.0
Last (time),5:00p ET 11/25/22
Market Cap,40.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",35.8
Prev Close,217.72
Short Interest,0.0123
Today's Open,218.6
Volume,253521.0
Volume 10-day Avg,799632.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-15 00:00:00
Growth Analysts,21.0
Growth 1yr Low Est,0.13851351351351338
Growth 1yr High Est,0.1361607142857142
Growth 1yr Consensus Est,0.13733711389961378
Growth 2yr Low Est,0.08755547090116822
Growth 2yr High Est,0.13045756735896707
Growth 2yr Consensus Est,0.10900651913006765
Growth 5yr Low Est,0.14609233062354793
Growth 5yr High Est,0.16509359294298798
Growth 5yr Consensus Est,0.15559296178326795
Growth 5yr Actual/Est,0.15253618669952407
Growth 3yr Historic,0.1028092229388794
Price/Earnings (TTM),35.79804
Price/Sales (TTM),2.85588
Price/Book (MRQ),7.64397
Price/Cash Flow (TTM),18.33891
5yr Low,81.79
5yr High,285.61
5yr Avg Return,0.16786666666666666
EPS Growth 5yr,0.5991586999999999
Revenue Growth 5yr,0.1527819
Dividend Growth 5yr,
Short Int Current Month,2261684.0
Short Int Prev Month,1942854.0
Short Int Pct of Float,0.012272799999999999
Days to Cover,2.66409
Float,184.2869
Shares Outstanding,185.74
Institutions Holding Shares,1264.0
FCF Growth 5yr,0.3500461585689106
"Price/Earnings (TTM, GAAP)",35.8
"PEG Ratio (TTM, GAAP)",3.2
Gross Profit Margin (TTM),0.3472
Operating Profit Margin (TTM),0.1315
Net Profit Margin (TTM),0.0834
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.11539999999999999
EPS Growth (TTM),0.5631
Revenue Growth (MRQ),0.0059
Revenue Growth (TTM),0.057
Return On Equity (TTM),0.2115
Return On Assets (TTM),0.049400000000000006
Return On Investment (TTM),0.0625
Revenue Per Employee (TTM),181101.0
Total Debt/Total Capital (MRQ),0.6986
Change in Debt/Total Capital Quarter over Quarter,0.0001
Quick Ratio (MRQ),
Interest Coverage (MRQ),4.69
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
theStreet since,2020-10-21 00:00:00
researchTeam since,2021-05-28 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-04-23 00:00:00
ford since,2022-03-18 00:00:00
marketEdge opinion since,
