,IQV,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",35.8,83.95,Valuation,0.42644431209053
Price/Sales (TTM),2.86,6.06,Valuation,0.47194719471947194
Price/Book (MRQ),7.64,6.22,Valuation,1.2282958199356913
"PEG Ratio (TTM, GAAP)",3.2,3.53,Valuation,0.906515580736544
Gross Profit Margin (TTM),0.3472,0.5095000000000001,Profitability,0.6814524043179587
Operating Profit Margin (TTM),0.1315,0.0332,Profitability,3.960843373493976
Net Profit Margin (TTM),0.0834,-0.0454,Profitability,-1.8370044052863435
Annual Dividend Yield,,0.0022,Dividend,
Dividend Change %,,0.0891,Dividend,
"Dividend Growth Rate, 3 Years",,0.0714,Dividend,
EPS Growth (MRQ),0.11539999999999999,-0.5094,Gowth rates,-0.22654102866116999
EPS Growth (TTM),0.5631,-0.2377,Gowth rates,-2.368952461085402
Revenue Growth (MRQ),0.0059,0.1691,Gowth rates,0.03489059727971614
Revenue Growth (TTM),0.057,0.1222,Gowth rates,0.4664484451718494
Return On Equity (TTM),0.2115,1.1042,Effectiveness,0.19154138742981341
Return On Assets (TTM),0.049400000000000006,0.0644,Effectiveness,0.767080745341615
Return On Investment (TTM),0.0625,0.0802,Effectiveness,0.7793017456359103
Revenue Per Employee (TTM),181101.0,335561.0,Effectiveness,0.5396962102270526
Total Debt/Total Capital (MRQ),0.6986,0.3893,Financial strength,1.7945029540200361
Change in Debt/Total Capital Quarter over Quarter,0.0001,0.0252,Financial strength,0.003968253968253968
Quick Ratio (MRQ),,1.51,Financial strength,
Interest Coverage (MRQ),4.69,33.07,Financial strength,0.14182038100997885
