,EVOP,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",2503.72,53.11,Valuation,47.14215778572773
Price/Sales (TTM),3.27,19.35,Valuation,0.1689922480620155
Price/Book (MRQ),,19.03,Valuation,
"PEG Ratio (TTM, GAAP)",155.8,3.41,Valuation,45.6891495601173
Gross Profit Margin (TTM),0.8364,0.44520000000000004,Profitability,1.8787061994609164
Operating Profit Margin (TTM),0.15810000000000002,0.3027,Profitability,0.5222993062438057
Net Profit Margin (TTM),0.0501,0.23600000000000002,Profitability,0.21228813559322032
Annual Dividend Yield,,0.010400000000000001,Dividend,
Dividend Change %,,0.0818,Dividend,
"Dividend Growth Rate, 3 Years",,0.1223,Dividend,
EPS Growth (MRQ),-2.4225,-3.5569,Gowth rates,0.6810705951811971
EPS Growth (TTM),1.1574,0.15560000000000002,Gowth rates,7.438303341902313
Revenue Growth (MRQ),0.0072,0.16460000000000002,Gowth rates,0.04374240583232077
Revenue Growth (TTM),0.1173,0.2273,Gowth rates,0.5160580730312363
Return On Equity (TTM),,0.5459,Effectiveness,
Return On Assets (TTM),0.0151,0.1131,Effectiveness,0.13351016799292661
Return On Investment (TTM),0.1199,0.18910000000000002,Effectiveness,0.6340560549973558
Revenue Per Employee (TTM),243841.0,686074.0,Effectiveness,0.3554150135408134
Total Debt/Total Capital (MRQ),0.6189,0.5613,Financial strength,1.102618920363442
Change in Debt/Total Capital Quarter over Quarter,-0.0005,0.0048,Financial strength,-0.10416666666666667
Quick Ratio (MRQ),1.33,0.16,Financial strength,8.3125
Interest Coverage (MRQ),,27.21,Financial strength,
