,EVOP
% Below High,0.004699999999999999
% Held by Institutions,1.0041
52-Wk Range,['20.07 - 33.86']
Annual Dividend $,
Annual Dividend %,
Ask,53.92
Ask Size,200.0
B/A Ratio,5.0
B/A Size,1000x200
Beta,1.2
Bid,33.7
Bid Size,1000.0
Closing Price,33.7
Day Change $,0.0
Day Change %,0.0
Day High,33.72
Day Low,33.69
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.01
Ex-dividend Date,No dividend
Historical Volatility,0.37
Last (size),22.0
Last (time),12:59p ET 11/25/22
Market Cap,1.6B
"P/E Ratio (TTM, GAAP)",2503.72
Prev Close,33.7
Short Interest,0.0875
Today's Open,33.7
Volume,145820.0
Volume 10-day Avg,324576.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,0.3764705882352941
Growth 1yr High Est,0.32954545454545436
Growth 1yr Consensus Est,0.35300802139037424
Growth 2yr Low Est,0.24379084967320264
Growth 2yr High Est,0.22032828282828276
Growth 2yr Consensus Est,0.2320595662507427
Growth 5yr Low Est,0.3094198884827
Growth 5yr High Est,0.27188552188552184
Growth 5yr Consensus Est,0.29065270518411096
Growth 5yr Actual/Est,0.19709934163059162
Growth 3yr Historic,0.09789299242424243
Price/Earnings (TTM),2503.715
Price/Sales (TTM),3.269
Price/Book (MRQ),
Price/Cash Flow (TTM),18.10893
5yr Low,10.12
5yr High,33.86
5yr Avg Return,0.1205
EPS Growth 5yr,
Revenue Growth 5yr,0.0344764
Dividend Growth 5yr,
Short Int Current Month,4140198.0
Short Int Prev Month,3612016.0
Short Int Pct of Float,0.08747189999999999
Days to Cover,7.11253
Float,47.39355
Shares Outstanding,52.0371
Institutions Holding Shares,223.0
FCF Growth 5yr,0.5335150739212531
"Price/Earnings (TTM, GAAP)",2503.72
"PEG Ratio (TTM, GAAP)",155.8
Gross Profit Margin (TTM),0.8364
Operating Profit Margin (TTM),0.15810000000000002
Net Profit Margin (TTM),0.0501
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-2.4225
EPS Growth (TTM),1.1574
Revenue Growth (MRQ),0.0072
Revenue Growth (TTM),0.1173
Return On Equity (TTM),
Return On Assets (TTM),0.0151
Return On Investment (TTM),0.1199
Revenue Per Employee (TTM),243841.0
Total Debt/Total Capital (MRQ),0.6189
Change in Debt/Total Capital Quarter over Quarter,-0.0005
Quick Ratio (MRQ),1.33
Interest Coverage (MRQ),
theStreet,rating-box
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
theStreet since,2022-01-10 00:00:00
researchTeam since,2022-01-10 00:00:00
ford since,2022-11-04 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
