,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,30.45,31.93,30.0,31.99,33.86,,,,,
low,19.0,21.81,10.12,20.07,21.01,,,,,
change,0.2304,0.094,0.016200000000000003,-0.0519,0.3138,,,,,
Date,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,,,410.0,422.0,439.0,430.0,Balance Sheet
"Trade Accts Recvble, Net",,,,,,16.0,17.0,17.0,17.0,Balance Sheet
Other Receivables,,,,,,18.0,20.0,20.0,29.0,Balance Sheet
"Total Receivables, Net",,,,,,34.0,36.0,37.0,45.0,Balance Sheet
Total Inventory,,,,,,4.0,6.0,6.0,7.0,Balance Sheet
Restricted Cash - Current,,,,,,0.0,0.0,0.0,1.0,Balance Sheet
Other Current Assets,,,,,,332.0,364.0,378.0,371.0,Balance Sheet
"Other Curr. Assets, Total",,,,,,332.0,364.0,378.0,371.0,Balance Sheet
Total Current Assets,,,,,,781.0,829.0,859.0,854.0,Balance Sheet
Buildings,,,,,,18.0,18.0,18.0,19.0,Balance Sheet
Machinery/Equipment,,,,,,105.0,108.0,107.0,108.0,Balance Sheet
Other Prop./Plant/Equip.,,,,,,195.0,204.0,209.0,209.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,,317.0,330.0,334.0,336.0,Balance Sheet
Accumulated Depreciation,,,,,,-214.0,-220.0,-229.0,-237.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,103.0,109.0,106.0,99.0,Balance Sheet
"Goodwill, Net",,,,,,386.0,385.0,381.0,371.0,Balance Sheet
Intangibles - Gross,,,,,,575.0,574.0,581.0,579.0,Balance Sheet
Accum. Intangible Amort.,,,,,,-374.0,-377.0,-387.0,-401.0,Balance Sheet
Intangibles - Net,,,,,,201.0,198.0,194.0,179.0,Balance Sheet
Long Term Investments,,,,,,25.0,26.0,23.0,31.0,Balance Sheet
Other Long Term Assets,,,,,,19.0,20.0,20.0,18.0,Balance Sheet
Total Assets,,,,,,1753.0,1806.0,1825.0,1796.0,Balance Sheet
Accounts Payable,,,,,,7.0,9.0,11.0,8.0,Balance Sheet
Accrued Expenses,,,,,,134.0,134.0,131.0,142.0,Balance Sheet
Notes Payable/ST Debt,,,,,,8.0,7.0,8.0,4.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,,14.0,14.0,14.0,14.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,,422.0,458.0,480.0,469.0,Balance Sheet
Total Current Liabilities,,,,,,585.0,622.0,645.0,636.0,Balance Sheet
Total Long Term Debt,,,,,,569.0,565.0,568.0,558.0,Balance Sheet
Total Debt,,,,,,591.0,586.0,591.0,576.0,Balance Sheet
Deferred Income Tax,,,,,,22.0,23.0,25.0,24.0,Balance Sheet
Minority Interest,,,,,,858.0,794.0,790.0,1095.0,Balance Sheet
"Other Liabilities, Total",,,,,,217.0,221.0,225.0,223.0,Balance Sheet
Total Liabilities,,,,,,2251.0,2226.0,2254.0,2537.0,Balance Sheet
Redeemable Preferred Stock,,,,,,164.0,167.0,169.0,172.0,Balance Sheet
Common Stock,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,,,,0.0,2.0,0.0,0.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,,-653.0,-583.0,-585.0,-890.0,Balance Sheet
"Other Equity, Total",,,,,,-9.0,-6.0,-13.0,-22.0,Balance Sheet
Total Equity,,,,,,-498.0,-420.0,-428.0,-741.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,,1753.0,1806.0,1825.0,1796.0,Balance Sheet
Shr Outs.-Com. Primary Iss.,,,,,,47.0,48.0,48.0,48.0,Balance Sheet
Shr Outs.-Com. Stk. Iss. 2,,,,,,0.0,,,,Balance Sheet
Shr Outs.-Com. Stk. Iss. 3,,,,,,0.0,,,,Balance Sheet
