,RCUS,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",73.96,471.78,Valuation,0.1567679850777905
Price/Sales (TTM),4.47,45.03,Valuation,0.09926715522984676
Price/Book (MRQ),2.77,12.61,Valuation,0.21966693100713722
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),,0.5874,Profitability,
Operating Profit Margin (TTM),0.1749,-4.7459,Profitability,-0.03685286247076424
Net Profit Margin (TTM),0.1844,-4.5467,Profitability,-0.04055688741284888
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),0.031400000000000004,-0.0014000000000000002,Gowth rates,-22.428571428571427
EPS Growth (TTM),1.0881,0.027200000000000002,Gowth rates,40.00367647058823
Revenue Growth (MRQ),0.2549,1.3963999999999999,Gowth rates,0.18254081924949875
Revenue Growth (TTM),10.4297,0.9747,Gowth rates,10.700420642248897
Return On Equity (TTM),0.1286,0.1967,Effectiveness,0.6537874936451448
Return On Assets (TTM),0.07150000000000001,0.0016,Effectiveness,44.6875
Return On Investment (TTM),0.0835,0.0219,Effectiveness,3.812785388127854
Revenue Per Employee (TTM),1182634.0,1476201.0,Effectiveness,0.8011334499841146
Total Debt/Total Capital (MRQ),0.0,0.4675,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0036,Financial strength,
Quick Ratio (MRQ),,2.06,Financial strength,
Interest Coverage (MRQ),,2.69,Financial strength,
