,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,22.1,13.66,37.41,49.1,42.05,,,,,
low,9.17,6.3,8.55,22.36,16.74,,,,,
change,-0.4615,-0.042699999999999995,1.5703,0.526,-0.3129,,,,,
Date,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Equivalents,,,,,,148.0,549.0,273.0,218.0,Balance Sheet
Short Term Investments,,,,,,351.0,665.0,900.0,831.0,Balance Sheet
Cash and Short Term Invs,,,,,,499.0,1214.0,1173.0,1049.0,Balance Sheet
"Total Receivables, Net",,,,,,747.0,32.0,39.0,31.0,Balance Sheet
Prepaid Expenses,,,,,,16.0,19.0,16.0,22.0,Balance Sheet
Total Current Assets,,,,,,1262.0,1264.0,1227.0,1101.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,137.0,136.0,137.0,136.0,Balance Sheet
Long Term Investments,,,,,,182.0,129.0,98.0,143.0,Balance Sheet
Other Long Term Assets,,,,,,8.0,11.0,11.0,11.0,Balance Sheet
Total Assets,,,,,,1592.0,1543.0,1477.0,1394.0,Balance Sheet
Accounts Payable,,,,,,10.0,18.0,22.0,11.0,Balance Sheet
Accrued Expenses,,,,,,52.0,51.0,49.0,60.0,Balance Sheet
Notes Payable/ST Debt,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Customer Advances,,,,,,102.0,89.0,90.0,103.0,Balance Sheet
Income Taxes Payable,,,,,,2.0,3.0,0.0,0.0,Balance Sheet
Other Current Liabilities,,,,,,0.0,0.0,2.0,3.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,,104.0,92.0,93.0,106.0,Balance Sheet
Total Current Liabilities,,,,,,166.0,161.0,164.0,177.0,Balance Sheet
Total Long Term Debt,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Total Debt,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
"Other Liabilities, Total",,,,,,584.0,586.0,565.0,518.0,Balance Sheet
Total Liabilities,,,,,,750.0,747.0,729.0,695.0,Balance Sheet
Common Stock,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,,,,1118.0,1145.0,1165.0,1183.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,,-275.0,-343.0,-410.0,-475.0,Balance Sheet
"Other Equity, Total",,,,,,-1.0,-5.0,-7.0,-10.0,Balance Sheet
Total Equity,,,,,,841.0,797.0,747.0,699.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,,1592.0,1543.0,1477.0,1394.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,,71.0,72.0,72.0,72.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,,,354499.0,18005.0,26759.0,33581.0,Income Statement
Selling/Gen/Admin Expense,,,,,,16696.0,15935.0,17876.0,18128.0,Income Statement
Labor & Related Expense,,,,,,6600.0,8039.0,7960.0,8166.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,,,23296.0,23974.0,25836.0,26294.0,Income Statement
Research & Development,,,,,,49936.0,61211.0,69905.0,76684.0,Income Statement
Total Operating Expense,,,,,,73232.0,85185.0,95741.0,102978.0,Income Statement
Total Operating Income,,,,,,281267.0,-67180.0,-68982.0,-69397.0,Income Statement
"Inter Income, Non-Operating",,,,,,176.0,582.0,2861.0,5013.0,Income Statement
"Invest Income, Non-Operat",,,,,,0.0,,,,Income Statement
"Inter/Invest Inc, Non-Oper",,,,,,176.0,582.0,2861.0,5013.0,Income Statement
OtherNon-OperatInc (Expnse),,,,,,-260.0,-391.0,-511.0,-535.0,Income Statement
"Other, Net",,,,,,-260.0,-391.0,-511.0,-535.0,Income Statement
Income Before Tax,,,,,,281183.0,-66989.0,-66632.0,-64919.0,Income Statement
Income Tax - Total,,,,,,1815.0,1004.0,0.0,0.0,Income Statement
Income After Tax,,,,,,279368.0,-67993.0,-66632.0,-64919.0,Income Statement
Net Inc Before Extra Items,,,,,,279368.0,-67993.0,-66632.0,-64919.0,Income Statement
Total Net Income,,,,,,279368.0,-67993.0,-66632.0,-64919.0,Income Statement
Income Available to Common Excl. Extra. Items,,,,,,279368.0,-67993.0,-66632.0,-64919.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,,,279368.0,-67993.0,-66632.0,-64919.0,Income Statement
Basic/Primary Weighted Average Shares,,,,,,70411.0,71195.0,71814.0,72236.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,,,,3.97,-0.96,-0.93,-0.9,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,,,,3.97,-0.96,-0.93,-0.9,Income Statement
Diluted Weighted Average Shares,,,,,,88894.0,71195.0,71814.0,72236.0,Income Statement
Diluted EPS Excl. Extra. Items,,,,,,3.14,-0.96,-0.93,-0.9,Income Statement
Diluted EPS Incl. Extra. Items,,,,,,3.14,-0.96,-0.93,-0.9,Income Statement
Div/Share-ComStockPrimIssue,,,,,,,0.0,0.0,0.0,Income Statement
Gross Divid - Common Stock,,,,,,0.0,,,,Income Statement
Pro Forma Net Income,,,,,,,,,,Income Statement
"Depreciat/Amort, Suppl",,,,,,1260.0,1457.0,1505.0,1560.0,Income Statement
Normalzd Income Before Tax,,,,,,281183.0,-66989.0,-66632.0,-64919.0,Income Statement
IncTxsExcl ImpctofSpec Itms,,,,,,1815.0,1004.0,0.0,0.0,Income Statement
Normalized Income After Tax,,,,,,279368.0,-67993.0,-66632.0,-64919.0,Income Statement
Normalzd Inc Avail to Common,,,,,,279368.0,-67993.0,-66632.0,-64919.0,Income Statement
Basic Normalized EPS,,,,,,3.97,-0.96,-0.93,-0.9,Income Statement
Diluted Normalized EPS,,,,,,3.14,-0.96,-0.93,-0.9,Income Statement
Date,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Cash Flow
Net Income,,,,,,53.0,-68.0,-135.0,-200.0,Cash Flow
Depreciation/Depletion,,,,,,4.0,1.0,3.0,5.0,Cash Flow
Purchased R&D,,,,,,,3.0,3.0,1.0,Cash Flow
