,LNN
% Below High,0.0265
% Held by Institutions,0.9299
52-Wk Range,['116.77 - 183.08']
Annual Dividend $,1.36
Annual Dividend %,0.0076
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,0.6
Bid,121.0
Bid Size,
Closing Price,178.22
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-11-30 00:00:00
"EPS (TTM, GAAP)",5.96
Ex-dividend,2022-11-15 00:00:00
Ex-dividend Date,11/15/22
Historical Volatility,0.34500000000000003
Last (size),12.0
Last (time),5:00p ET 11/25/22
Market Cap,1.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",29.89
Prev Close,178.22
Short Interest,0.012
Today's Open,
Volume,27274.0
Volume 10-day Avg,70626.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-05 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,0.12380952380952381
Growth 1yr High Est,0.2300163132137032
Growth 1yr Consensus Est,0.1769129185116135
Growth 2yr Low Est,0.10427764326069411
Growth 2yr High Est,0.13821770567846958
Growth 2yr Consensus Est,0.12124767446958185
Growth 5yr Low Est,0.10427764326069411
Growth 5yr High Est,0.13821770567846958
Growth 5yr Consensus Est,0.12124767446958185
Growth 5yr Actual/Est,0.2057374855853335
Growth 3yr Historic,0.15520386887524618
Price/Earnings (TTM),29.88829
Price/Sales (TTM),2.54513
Price/Book (MRQ),4.97474
Price/Cash Flow (TTM),22.8204
5yr Low,71.86
5yr High,183.08
5yr Avg Return,0.11454999999999999
EPS Growth 5yr,0.2243553
Revenue Growth 5yr,0.0827258
Dividend Growth 5yr,0.025966399999999997
Short Int Current Month,130554.0
Short Int Prev Month,160961.0
Short Int Pct of Float,0.0119568
Days to Cover,2.13233
Float,10.93507
Shares Outstanding,11.00685
Institutions Holding Shares,277.0
FCF Growth 5yr,-0.07444786065084374
"Price/Earnings (TTM, GAAP)",29.89
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.2584
Operating Profit Margin (TTM),0.12279999999999999
Net Profit Margin (TTM),0.0853
Annual Dividend Yield,0.0076
Dividend Change %,0.023100000000000002
"Dividend Growth Rate, 3 Years",0.0236
EPS Growth (MRQ),-0.27530000000000004
EPS Growth (TTM),0.5279
Revenue Growth (MRQ),-0.11230000000000001
Revenue Growth (TTM),0.3578
Return On Equity (TTM),0.17980000000000002
Return On Assets (TTM),0.0976
Return On Investment (TTM),0.1255
Revenue Per Employee (TTM),610732.0
Total Debt/Total Capital (MRQ),0.22710000000000002
Change in Debt/Total Capital Quarter over Quarter,-0.001
Quick Ratio (MRQ),1.76
Interest Coverage (MRQ),36.65
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-09-02 00:00:00
theStreet since,2020-07-06 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-09-02 00:00:00
cfra since,
marketEdge opinion since,
