,LNN,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",29.89,24.01,Valuation,1.2448979591836735
Price/Sales (TTM),2.55,3.06,Valuation,0.8333333333333333
Price/Book (MRQ),4.97,7.44,Valuation,0.668010752688172
"PEG Ratio (TTM, GAAP)",,1.49,Valuation,
Gross Profit Margin (TTM),0.2584,0.32799999999999996,Profitability,0.7878048780487806
Operating Profit Margin (TTM),0.12279999999999999,0.0198,Profitability,6.2020202020202015
Net Profit Margin (TTM),0.0853,-0.0086,Profitability,-9.918604651162791
Annual Dividend Yield,0.0076,0.0143,Dividend,0.5314685314685315
Dividend Change %,0.023100000000000002,0.1666,Dividend,0.13865546218487396
"Dividend Growth Rate, 3 Years",0.0236,0.0885,Dividend,0.26666666666666666
EPS Growth (MRQ),-0.27530000000000004,0.3518,Gowth rates,-0.7825469016486641
EPS Growth (TTM),0.5279,0.16149999999999998,Gowth rates,3.2687306501547995
Revenue Growth (MRQ),-0.11230000000000001,0.196,Gowth rates,-0.5729591836734694
Revenue Growth (TTM),0.3578,0.1475,Gowth rates,2.425762711864407
Return On Equity (TTM),0.17980000000000002,0.2859,Effectiveness,0.6288912207065408
Return On Assets (TTM),0.0976,0.0851,Effectiveness,1.146886016451234
Return On Investment (TTM),0.1255,0.12490000000000001,Effectiveness,1.0048038430744595
Revenue Per Employee (TTM),610732.0,343373.0,Effectiveness,1.778625576268373
Total Debt/Total Capital (MRQ),0.22710000000000002,0.6352000000000001,Financial strength,0.35752518891687657
Change in Debt/Total Capital Quarter over Quarter,-0.001,0.0189,Financial strength,-0.052910052910052914
Quick Ratio (MRQ),1.76,1.07,Financial strength,1.644859813084112
Interest Coverage (MRQ),36.65,20.9,Financial strength,1.7535885167464116
