,ICHR
% Above Low,0.3392
% Held by Institutions,0.9154000000000001
52-Wk Range,['21.04 - 50.72']
Annual Dividend $,
Annual Dividend %,
Ask,36.0
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,2.0
Bid,25.0
Bid Size,200.0
Closing Price,28.17
Day Change $,-0.33
Day Change %,-0.0116
Day High,28.51
Day Low,28.17
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.17
Ex-dividend Date,No dividend
Historical Volatility,0.663
Last (size),13.0
Last (time),1:00p ET 11/25/22
Market Cap,811.4M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",12.99
Prev Close,28.5
Short Interest,0.0371
Today's Open,28.44
Volume,37471.0
Volume 10-day Avg,161804.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-07 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,0.13056379821958464
Growth 1yr High Est,0.12352941176470589
Growth 1yr Consensus Est,0.12704660499214526
Growth 2yr Low Est,-0.17225090928915782
Growth 2yr High Est,-0.0848321527563905
Growth 2yr Consensus Est,-0.12854153102277416
Growth 5yr Low Est,0.2500274600760577
Growth 5yr High Est,0.27567654528585495
Growth 5yr Consensus Est,0.2628520026809563
Growth 5yr Actual/Est,0.27252929120143343
Growth 3yr Historic,0.3376573705179283
Price/Earnings (TTM),12.98755
Price/Sales (TTM),0.69185
Price/Book (MRQ),1.50651
Price/Cash Flow (TTM),8.45791
5yr Low,13.68
5yr High,63.42
5yr Avg Return,0.08794999999999999
EPS Growth 5yr,0.604133
Revenue Growth 5yr,0.22006699999999998
Dividend Growth 5yr,
Short Int Current Month,1046609.0
Short Int Prev Month,1045267.0
Short Int Pct of Float,0.0371162
Days to Cover,4.51128
Float,28.20234
Shares Outstanding,28.80253
Institutions Holding Shares,221.0
FCF Growth 5yr,1.398525823550769
"Price/Earnings (TTM, GAAP)",12.99
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.162
Operating Profit Margin (TTM),0.0621
Net Profit Margin (TTM),0.053700000000000005
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),1.6773
EPS Growth (TTM),-0.04190000000000001
Revenue Growth (MRQ),0.1242
Revenue Growth (TTM),0.1503
Return On Equity (TTM),0.1265
Return On Assets (TTM),0.0667
Return On Investment (TTM),0.0844
Revenue Per Employee (TTM),633918.0
Total Debt/Total Capital (MRQ),0.3615
Change in Debt/Total Capital Quarter over Quarter,0.0040999999999999995
Quick Ratio (MRQ),1.06
Interest Coverage (MRQ),12.03
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2022-05-11 00:00:00
researchTeam since,2022-08-20 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-10-28 00:00:00
cfra since,
marketEdge opinion since,
