,2021,2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Report
high,39.71,34.95,,,,,
low,24.0,20.14,,,,,
change,0.028900000000000002,-0.0426,,,,,
Date,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,111.0,134.0,133.0,98.0,Balance Sheet
"Trade Accts Recvble, Gross",,,23.0,24.0,25.0,27.0,Balance Sheet
Prov. for Doubtful Accts,,,-3.0,-4.0,-3.0,-4.0,Balance Sheet
"Total Receivables, Net",,,20.0,20.0,22.0,23.0,Balance Sheet
Prepaid Expenses,,,14.0,12.0,9.0,11.0,Balance Sheet
"Other Curr. Assets, Total",,,972.0,1916.0,1756.0,977.0,Balance Sheet
Total Current Assets,,,1117.0,2083.0,1920.0,1110.0,Balance Sheet
Buildings,,,31.0,24.0,24.0,24.0,Balance Sheet
Land/Improvements,,,5.0,5.0,5.0,5.0,Balance Sheet
Machinery/Equipment,,,17.0,17.0,17.0,18.0,Balance Sheet
Construction in Progress,,,,,,0.0,Balance Sheet
Other Prop./Plant/Equip.,,,5.0,2.0,2.0,25.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,57.0,48.0,49.0,72.0,Balance Sheet
Accumulated Depreciation,,,-18.0,-16.0,-17.0,-18.0,Balance Sheet
Prop./Plant/Equip. - Net,,,39.0,33.0,32.0,54.0,Balance Sheet
"Goodwill, Net",,,750.0,751.0,750.0,749.0,Balance Sheet
Intangibles - Gross,,,752.0,762.0,775.0,867.0,Balance Sheet
Accum. Intangible Amort.,,,-415.0,-443.0,-472.0,-501.0,Balance Sheet
Intangibles - Net,,,336.0,318.0,303.0,365.0,Balance Sheet
Other Long Term Assets,,,22.0,25.0,1.0,2.0,Balance Sheet
Total Assets,,,2372.0,3327.0,3131.0,2413.0,Balance Sheet
Accounts Payable,,,12.0,12.0,14.0,16.0,Balance Sheet
Accrued Expenses,,,40.0,52.0,58.0,44.0,Balance Sheet
Notes Payable/ST Debt,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,0.0,0.0,0.0,Balance Sheet
Customer Advances,,,11.0,12.0,12.0,11.0,Balance Sheet
Other Current Liabilities,,,940.0,1882.0,1719.0,939.0,Balance Sheet
"Other Curr. Lblts, Total",,,951.0,1894.0,1731.0,950.0,Balance Sheet
Total Current Liabilities,,,1003.0,1958.0,1803.0,1010.0,Balance Sheet
Long Term Debt,,,0.0,0.0,0.0,,Balance Sheet
Capital Lease Obligations,,,,,,1.0,Balance Sheet
Total Long Term Debt,,,0.0,0.0,0.0,1.0,Balance Sheet
Total Debt,,,0.0,0.0,0.0,1.0,Balance Sheet
Deferred Income Tax,,,67.0,63.0,32.0,10.0,Balance Sheet
Minority Interest,,,0.0,0.0,0.0,,Balance Sheet
"Other Liabilities, Total",,,11.0,12.0,11.0,119.0,Balance Sheet
Total Liabilities,,,1080.0,2033.0,1847.0,1139.0,Balance Sheet
"Pref. Stock-Non Rdmbl, Net",,,0.0,0.0,0.0,0.0,Balance Sheet
Common Stock,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,1891.0,1911.0,1927.0,1947.0,Balance Sheet
