,PYCR
% Below High,0.20629999999999998
% Held by Institutions,1.0062
52-Wk Range,['20.14 - 34.95']
Annual Dividend $,
Annual Dividend %,
Ask,27.78
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,
Bid,27.7
Bid Size,100.0
Day Change $,-0.36
Day Change %,-0.0128
Day High,28.57
Day Low,27.66
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.54
Ex-dividend Date,No dividend
Historical Volatility,0.555
Last (size),100.0
Last (time),11:58a ET 11/28/22
Market Cap,4.9B
"P/E Ratio (TTM, GAAP)",
Prev Close,28.1
Price,27.74
Short Interest,0.17550000000000002
Today's Open,27.94
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.23076923076923084
Growth 2yr High Est,0.24444444444444446
Growth 2yr Consensus Est,0.23760683760683765
Growth 5yr Low Est,0.23076923076923084
Growth 5yr High Est,0.24444444444444446
Growth 5yr Consensus Est,0.23760683760683765
Growth 5yr Actual/Est,0.21387163561076605
Growth 3yr Historic,-0.02898550724637683
Price/Earnings (TTM),
Price/Sales (TTM),10.86156
Price/Book (MRQ),3.8745
Price/Cash Flow (TTM),177.7985
5yr Low,20.14
5yr High,39.71
5yr Avg Return,-0.0068499999999999985
Short Int Current Month,9587957.0
Short Int Prev Month,9101939.0
Short Int Pct of Float,0.1755042
Days to Cover,14.17454
Float,174.8647
Shares Outstanding,175.856
Institutions Holding Shares,198.0
FCF Growth 5yr,0.20576768719183583
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.6357
Operating Profit Margin (TTM),-0.3422
Net Profit Margin (TTM),-0.2089
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.2154
EPS Growth (TTM),0.2828
Revenue Growth (MRQ),0.0659
Revenue Growth (TTM),0.2415
Return On Equity (TTM),-0.0738
Return On Assets (TTM),-0.0349
Return On Investment (TTM),-0.0681
Revenue Per Employee (TTM),197808.0
Total Debt/Total Capital (MRQ),0.0007000000000000001
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),-24.65
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-08-24 00:00:00
theStreet since,2022-08-24 00:00:00
ford since,2022-11-04 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
